cell	x	y	cluster
-23531.WT_25	2353.5789473684213	1708.157894736842	c34
-23493.WT_25	2642.6129032258063	1682.451612903226	c9
-23480.WT_25	2546.903225806452	1683.1935483870968	c23
-23479.WT_25	2827.5987261146497	1668.6369426751592	c3
-23380.WT_25	2364.428571428572	1671.3333333333333	c6
-23298.WT_25	2969.8888888888887	1622.4888888888888	c22
-23291.WT_25	2283.333333333333	1663.2	c0
-23277.WT_25	2932.443181818182	1622.375	c0
-23275.WT_25	3041.259541984733	1615.618320610687	c17
-23274.WT_25	3052.8511904761904	1614.8809523809523	c17
-23222.WT_25	3048.783783783784	1605.162162162162	c13
-23214.WT_25	2934.85	1612.15	c6
-23197.WT_25	2605.6071428571427	1626.75	c10
-23196.WT_25	2770.3214285714284	1617.482142857143	c0
-23153.WT_25	2919.208333333333	1598.8333333333333	c6
-23152.WT_25	2336.6875	1635.5	c13
-23146.WT_25	2578.8823529411766	1619.6470588235295	c10
-23121.WT_25	2594.407079646018	1617.6283185840707	c21
-23112.WT_25	2570.7916666666665	1616.4583333333333	c0
-23111.WT_25	2639.818181818182	1608.4545454545455	c0
-23110.WT_25	3013.342857142857	1586.9714285714283	c9
-23048.WT_25	3277.074074074074	1563.925925925926	c13
-23043.WT_25	3265.653846153846	1563.5384615384614	c13
-23040.WT_25	3020.4347826086955	1579.304347826087	c9
-23019.WT_25	2064.5714285714284	1631.142857142857	c3
-23016.WT_25	2888.3793103448274	1583.7931034482758	c0
-22986.WT_25	2064.958333333333	1627.2083333333333	c0
-22964.WT_25	1838.56	1636.68	c6
-22938.WT_25	2057.5151515151515	1620.939393939394	c10
-22936.WT_25	2188.153846153846	1610.3846153846157	c0
-22933.WT_25	2551.779411764706	1588.279411764706	c6
-22927.WT_25	2878.2909090909093	1573.1090909090908	c21
-22926.WT_25	2884.333333333333	1572.2380952380952	c24
-22876.WT_25	2440.833333333333	1589.625	c0
-22862.WT_25	2863.98	1561.18	c13
-22849.WT_25	2676.236842105264	1571.1842105263158	c21
-22847.WT_25	2561.5925925925926	1581.111111111111	c0
-22840.WT_25	1775.7	1624.66	c3
-22838.WT_25	2064.4242424242425	1605.6666666666667	c10
-22835.WT_25	2180.264150943396	1600.339622641509	c5
-22834.WT_25	2188.41875	1600.8875	c10
-22832.WT_25	2326.0625	1589.5	c6
-22827.WT_25	2543.333333333333	1580.8333333333333	c6
-22826.WT_25	2551.704545454545	1578.5227272727273	c29
-22821.WT_25	2890.660714285714	1557.4642857142858	c21
-22820.WT_25	2898.328125	1555.203125	c13
-22818.WT_25	3114.0	1539.953488372093	c0
-22761.WT_25	2902.4117647058824	1547.0	c13
-22760.WT_25	3113.2380952380954	1534.190476190476	c32
-22759.WT_25	3266.428571428572	1523.6666666666667	c4
-22753.WT_25	2068.1304347826085	1599.7391304347825	c10
-22742.WT_25	2789.4615384615386	1552.5384615384614	c32
-22736.WT_25	2198.0408163265306	1589.265306122449	c2
-22729.WT_25	3152.0344827586205	1528.4137931034484	c13
-22727.WT_25	2188.4565217391305	1589.536231884058	c10
-22712.WT_25	1921.981132075472	1602.6415094339625	c13
-22707.WT_25	2120.75	1592.3125	c3
-22706.WT_25	2131.9736842105262	1592.4473684210527	c6
-22705.WT_25	2147.454545454545	1588.5454545454545	c6
-22704.WT_25	2391.42	1574.26	c10
-22703.WT_25	2468.4761904761904	1568.190476190476	c6
-22702.WT_25	2483.514285714285	1569.2857142857142	c6
-22701.WT_25	2550.185185185185	1565.5925925925926	c6
-22699.WT_25	2755.153846153846	1546.8461538461538	c0
-22698.WT_25	2783.7291666666665	1550.6041666666667	c32
-22691.WT_25	3662.065573770492	1495.049180327869	c17
-22641.WT_25	2551.620689655173	1556.3103448275865	c12
-22640.WT_25	2776.6521739130435	1541.695652173913	c32
-22636.WT_25	1928.2	1594.6	c10
-22635.WT_25	2084.8571428571427	1584.071428571429	c9
-22620.WT_25	3569.3571428571427	1489.928571428571	c17
-22619.WT_25	2761.777777777778	1540.4444444444443	c13
-22612.WT_25	2089.4117647058824	1580.7058823529412	c8
-22599.WT_25	1735.25	1598.05	c10
-22595.WT_25	2041.0227272727277	1583.3636363636365	c10
-22590.WT_25	2700.297297297297	1539.918918918919	c29
-22588.WT_25	2753.88	1540.56	c32
-22582.WT_25	3655.3698630136983	1481.082191780822	c27
-22581.WT_25	3663.6615384615375	1481.2230769230769	c27
-22578.WT_25	4764.293333333333	1414.44	c11
-22577.WT_25	4872.925	1402.525	c9
-22504.WT_25	1729.5869565217392	1592.5217391304348	c22
-22503.WT_25	1839.909090909091	1582.7272727272727	c10
-22482.WT_25	1782.8367346938776	1586.0408163265306	c21
-22479.WT_25	1859.25	1577.4166666666667	c6
-22473.WT_25	2565.325	1533.6	c29
-22472.WT_25	2577.7438016528927	1535.0743801652893	c13
-22468.WT_25	2643.5416666666665	1530.5208333333333	c27
-22461.WT_25	3515.953488372093	1478.6976744186047	c7
-22460.WT_25	3653.3693693693695	1469.018018018018	c27
-22459.WT_25	3663.976047904192	1469.059880239521	c15
-22458.WT_25	4082.202898550725	1439.6666666666667	c15
-22453.WT_25	4873.117647058823	1392.3058823529411	c9
-22449.WT_25	5058.098360655737	1379.5081967213114	c15
-22350.WT_25	2768.0	1510.3	c4
-22347.WT_25	1852.92	1569.64	c10
-22346.WT_25	2574.659090909091	1526.2727272727273	c10
-22345.WT_25	2584.458333333333	1523.7291666666667	c10
-22343.WT_25	3314.923076923077	1478.923076923077	c23
-22333.WT_25	1742.859375	1576.296875	c6
-22330.WT_25	2068.32	1552.28	c10
-22329.WT_25	2074.756097560976	1554.9024390243903	c13
-22327.WT_25	2566.8837209302324	1523.0232558139537	c21
-22326.WT_25	2604.7906976744184	1517.1627906976744	c13
-22325.WT_25	2615.371900826446	1519.892561983471	c13
-22320.WT_25	3662.1679389312976	1453.87786259542	c15
-22313.WT_25	4083.590361445783	1429.3855421686746	c9
-22312.WT_25	4093.343195266272	1427.7869822485206	c9
-22311.WT_25	4103.573333333334	1426.48	c17
-22310.WT_25	4228.744186046512	1415.813953488372	c30
-22215.WT_25	3289.6666666666665	1469.0	c23
-22209.WT_25	4230.272727272727	1410.7575757575758	c14
-22181.WT_25	1758.4166666666667	1562.1666666666667	c10
-22179.WT_25	4100.95652173913	1417.8260869565215	c14
-22176.WT_25	3194.75	1471.375	c23
-22174.WT_25	1878.2105263157891	1554.5263157894738	c6
-22163.WT_25	2792.5652173913045	1496.7391304347825	c4
-22161.WT_25	4095.1463414634154	1417.2682926829268	c9
-22155.WT_25	2604.083333333333	1509.2142857142858	c13
-22142.WT_25	1904.7012987012988	1549.1168831168832	c6
-22141.WT_25	1911.1666666666667	1546.1666666666667	c32
-22135.WT_25	2427.346153846154	1515.923076923077	c6
-22133.WT_25	2613.9736842105262	1508.2236842105262	c13
-22132.WT_25	2628.135135135135	1503.3783783783783	c23
-22130.WT_25	3068.6666666666665	1476.4333333333334	c10
-22122.WT_25	3662.695238095238	1441.3904761904762	c17
-22118.WT_25	3822.77570093458	1433.0934579439252	c15
-22113.WT_25	3892.485507246377	1427.9130434782608	c17
-22110.WT_25	3976.714285714286	1419.5	c3
-22105.WT_25	4190.478260869565	1404.0869565217392	c17
-22104.WT_25	4198.928571428572	1402.928571428571	c15
-22102.WT_25	4499.090909090909	1384.0454545454545	c15
-22101.WT_25	4509.967741935484	1384.758064516129	c15
-22008.WT_25	3504.1875	1443.0625	c4
-22007.WT_25	3672.725	1432.075	c17
-21996.WT_25	4002.764705882353	1410.8235294117646	c7
-21989.WT_25	3128.875	1465.4375	c4
-21977.WT_25	4497.611111111111	1379.1666666666667	c15
-21971.WT_25	3758.581818181818	1425.9454545454546	c17
-21964.WT_25	1914.014705882353	1540.014705882353	c6
-21959.WT_25	3358.333333333333	1448.3333333333333	c32
-21952.WT_25	3363.6666666666665	1447.6444444444444	c13
-21949.WT_25	4210.178082191781	1396.3287671232877	c7
-21943.WT_25	2624.056603773585	1495.339622641509	c0
-21929.WT_25	2962.074074074074	1469.8148148148148	c0
-21921.WT_25	1927.8309859154929	1536.6338028169014	c0
-21920.WT_25	1937.909090909091	1532.2727272727273	c6
-21917.WT_25	2066.375	1526.296875	c21
-21916.WT_25	2075.019607843137	1525.5980392156862	c21
-21914.WT_25	2186.6875	1522.1875	c2
-21913.WT_25	2296.3076923076924	1510.2307692307693	c23
-21907.WT_25	2615.366666666667	1490.6166666666666	c0
-21903.WT_25	2869.4166666666665	1475.3333333333333	c7
-21902.WT_25	2881.275	1476.9375	c32
-21897.WT_25	3662.275590551181	1428.3070866141732	c15
-21893.WT_25	3785.647058823529	1418.5735294117646	c17
