timepoint	cells with UMI greater than 50	average_cell_vol
0hpa	339477.0	0.7215089613564943
0hpa	432197.0	0.86029473209111
12hpa	275205.0	0.9020389874271316
12hpa	233685.0	0.5099082396248976
36hpa	326986.0	0.890787017550997
36hpa	286128.0	0.643954559611636
3dpa	189770.0	1.0
3dpa	210761.0	0.5391952838015682
5dpa	166675.0	0.5957597468963762
5dpa	324297.0	0.8811623726198159
7dpa	124158.0	0.7731142089393223
7dpa	139681.0	0.5529168372519245
10dpa	127879.0	0.7074792904702611
10dpa	58450.0	0.8871814510513857
14dpa	101248.0	0.5339600162070385
14dpa	171407.0	0.811037811405222
