timepoint	tissue	vol_percent
0hpa	neural	1.6004348361354657
0hpa	neural	2.1917593577014767
10dpa	neural	4.453372255950635
10dpa	neural	5.013128
12hpa	neural	0.85756210068523
12hpa	neural	1.6840358455226696
14dpa	neural	6.327923924466453
14dpa	neural	5.288222365740091
36hpa	neural	2.9948963074971107
36hpa	neural	2.9412631013256543
3dpa	neural	4.187375802318064
3dpa	neural	2.01185185684905
5dpa	neural	5.548089609699011
5dpa	neural	5.54941543224101
7dpa	neural	7.912431216647936
7dpa	neural	6.472883829517196
10dpa	pharynx	2.275829208788342
10dpa	pharynx	2.2340481672498163
14dpa	pharynx	4.186091746681352
14dpa	pharynx	3.200552841187837
3dpa	pharynx	0.3352959218950089
3dpa	pharynx	0.42670248179430437
5dpa	pharynx	1.939606601242037
5dpa	pharynx	0.6641091533211023
7dpa	pharynx	2.691432154847117
7dpa	pharynx	1.637148573735205
