label	36hpa-3dpa.positive	36hpa-3dpa.negative	10dpa-14dpa.positive	10dpa-14dpa.negative	7dpa-10dpa.positive	7dpa-10dpa.negative	12hpa-36hpa.positive	12hpa-36hpa.negative	3dpa-5dpa.positive	3dpa-5dpa.negative	5dpa-7dpa.positive	5dpa-7dpa.negative	0hpa-12hpa.positive	0hpa-12hpa.negative
0	5.0	-3.0	321.0	-23.0	20.0	-201.0	36.0	-1.0	25.0	-12.0	8.0	-60.0	94.0	-118.0
1	44.0	-243.0	1342.0	0.0	6.0	-257.0	9.0	-53.0	168.0	-2.0	3.0	-68.0	84.0	-28.0
10	13.0	-122.0	261.0	-1.0	1.0	-203.0	66.0	-24.0	25.0	-1.0	3.0	-39.0	35.0	-29.0
11	43.0	-60.0	74.0	-11.0	7.0	-460.0	8.0	-23.0	182.0	-3.0	1.0	-83.0	482.0	-16.0
12	190.0	-82.0	8.0	0.0	1.0	-13.0	41.0	-20.0	122.0	-118.0	4.0	-54.0	53.0	-29.0
13	24.0	-488.0	522.0	0.0	1.0	-98.0	75.0	-20.0	170.0	-9.0	27.0	-39.0	65.0	-29.0
14	65.0	-35.0	1473.0	0.0	3.0	-264.0	11.0	-13.0	52.0	-12.0	1.0	-43.0	112.0	-22.0
15	51.0	-40.0	1160.0	-2.0	5.0	-379.0	24.0	-13.0	21.0	-3.0	4.0	-59.0	376.0	-23.0
16	43.0	-42.0	295.0	-2.0	2.0	-317.0	42.0	-22.0	13.0	-33.0	28.0	-19.0	16.0	-54.0
17	11.0	-30.0	12.0	0.0	1.0	-6.0	27.0	-13.0	64.0	-2.0	1.0	-9.0	163.0	-22.0
18	82.0	-31.0	1266.0	0.0	0.0	-386.0	17.0	-4.0	28.0	-3.0	5.0	-8.0	54.0	-19.0
19	28.0	-130.0	19.0	-97.0	15.0	-130.0	29.0	-12.0	193.0	-89.0	15.0	-51.0	25.0	-130.0
2	27.0	-274.0	9.0	-2.0	3.0	-20.0	13.0	-71.0	144.0	-4.0	0.0	-40.0	70.0	-32.0
20	7.0	-258.0	736.0	-13.0	8.0	-303.0	87.0	-11.0	578.0	-16.0	1.0	-28.0	28.0	-22.0
21	16.0	-21.0	34.0	-4.0	1.0	-197.0	13.0	-6.0	14.0	-2.0	1.0	-58.0	129.0	-9.0
22	31.0	-65.0	132.0	-14.0	0.0	-163.0	82.0	-58.0	110.0	-7.0	3.0	-41.0	113.0	-33.0
23	70.0	-38.0	49.0	0.0	2.0	-125.0	52.0	-13.0	43.0	-16.0	4.0	-26.0	101.0	-57.0
24	117.0	-73.0	1407.0	-7.0	1.0	-1796.0	12.0	-83.0	16.0	-3.0	1.0	-3.0	55.0	-23.0
25	3.0	-95.0	963.0	-2.0	9.0	-396.0	58.0	0.0	102.0	-1.0	6.0	-44.0	23.0	-14.0
26	41.0	-59.0	1627.0	-28.0	1.0	-239.0	23.0	-8.0	154.0	-2.0	2.0	-59.0	130.0	-17.0
27	17.0	-3.0	287.0	-3.0	2.0	-116.0	1.0	-45.0	16.0	-5.0	8.0	-27.0	84.0	-5.0
28	1.0	-256.0	2552.0	0.0	2.0	-924.0	12.0	-1.0	185.0	-9.0	38.0	-22.0	8.0	-10.0
29	2.0	-1.0	117.0	0.0	23.0	-211.0	0.0	0.0	38.0	-701.0	4.0	-23.0	0.0	0.0
3	24.0	-175.0	977.0	0.0	2.0	-262.0	10.0	-24.0	154.0	-1.0	1.0	-40.0	63.0	-36.0
30	18.0	-86.0	1007.0	0.0	2.0	-545.0	0.0	-88.0	50.0	0.0	147.0	-18.0	241.0	-5.0
31	9.0	-90.0	2340.0	-5.0	4.0	-1582.0	0.0	0.0	8.0	-4.0	0.0	-7.0	0.0	0.0
32	0.0	0.0	287.0	0.0	2.0	-44.0	3.0	-6.0	13.0	0.0	0.0	-37.0	19.0	-10.0
33	2.0	-1.0	608.0	-5.0	1.0	-183.0	27.0	0.0	18.0	-1.0	49.0	-10.0	6.0	-6.0
34	477.0	-17.0	0.0	0.0	0.0	0.0	31.0	-184.0	0.0	0.0	0.0	0.0	271.0	-53.0
4	56.0	-9.0	368.0	-13.0	16.0	-191.0	49.0	-38.0	53.0	-43.0	13.0	-70.0	49.0	-65.0
5	12.0	-434.0	113.0	-11.0	3.0	-601.0	76.0	-18.0	175.0	-1.0	5.0	-30.0	62.0	-59.0
6	21.0	-31.0	727.0	-1.0	1.0	-198.0	51.0	-26.0	18.0	-3.0	6.0	-45.0	27.0	-55.0
7	48.0	-58.0	0.0	0.0	0.0	-69.0	27.0	-29.0	151.0	-5.0	1.0	-99.0	180.0	-18.0
8	21.0	-191.0	265.0	-6.0	2.0	-568.0	262.0	-12.0	17.0	-16.0	2.0	-14.0	57.0	-60.0
9	25.0	-46.0	386.0	-6.0	5.0	-566.0	18.0	-19.0	96.0	-17.0	1.0	-32.0	242.0	-20.0
l1	0.0	0.0	3157.0	-39.0	3.0	-1698.0	0.0	0.0	4.0	-4.0	10.0	-48.0	0.0	0.0
l2	0.0	0.0	1909.0	-93.0	1.0	-419.0	0.0	0.0	7.0	-12.0	4.0	-53.0	0.0	0.0
l3	61.0	-72.0	2238.0	-19.0	11.0	-835.0	114.0	-80.0	66.0	-206.0	10.0	-92.0	63.0	-232.0
l4	0.0	0.0	408.0	0.0	19.0	-269.0	176.0	-41.0	99.0	-227.0	33.0	-99.0	0.0	0.0
l5	0.0	0.0	0.0	0.0	9.0	-116.0	0.0	0.0	114.0	-26.0	2.0	-75.0	0.0	0.0
l6	0.0	0.0	0.0	0.0	6.0	-26.0	0.0	0.0	202.0	-3.0	1.0	-41.0	0.0	0.0
l7	0.0	0.0	0.0	0.0	14.0	-36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
