time_simu	ARNT_act	ndk_act	ARNT_pred	ndk_pred	time_realp	ARNT_realp	ndk_realp	EGR1_act	hox4b_act	EGR1_pred	hox4b_pred	EGR1_realp	hox4b_realp	NFYA_act	glra1_act	NFYA_pred	glra1_pred	NFYA_realp	glra1_realp
0.0280563	5.62821	1.86018	5.72861	1.85624	0	6.26788	1.98888	4.5203	3.35168	4.50789	3.35227	4.23108	3.43679	6.34751	4.74735	6.40543	4.71344	6.06253	5.72747
0.0561125	5.56977	1.91364	5.76955	1.90629	0.5	4.0376	2.26673	4.54833	3.35849	4.52361	3.3598	5.49606	3.67766	6.37969	4.80431	6.44989	4.78269	7.42294	4.76638
0.0841688	5.51172	1.9671	5.80967	1.95684	1.5	5.45984	4.50424	4.57633	3.36533	4.53943	3.36749	5.33008	3.53909	6.41179	4.86127	6.49411	4.85287	6.82652	7.97672
0.112225	5.45423	2.02056	5.84899	2.0079	3	8.35099	7.7168	4.60431	3.37221	4.55535	3.37534	7.62466	8.44799	6.44375	4.91825	6.53809	4.92398	9.26707	11.0033
0.140281	5.3975	2.07403	5.88751	2.05943	5	6.02681	10.6166	4.63226	3.37915	4.57139	3.38335	8.10016	6.68241	6.47549	4.97526	6.58183	4.99602	7.84314	17.8545
0.168338	5.34172	2.12751	5.92526	2.11142	7	6.54856	8.57221	4.66017	3.38616	4.58752	3.39152	6.45077	8.66061	6.50693	5.0323	6.6253	5.06896	6.67694	18.8687
0.196394	5.28707	2.18099	5.96225	2.16386	10	6.99628	14.1651	4.68803	3.39327	4.60375	3.39986	10.1852	7.60681	6.53801	5.08938	6.6685	5.14282	8.43965	30.1981
0.22445	5.23375	2.23449	5.99848	2.21673	14	4.52702	6.83961	4.71583	3.40048	4.62009	3.40837	5.80548	5.03839	6.56866	5.14651	6.71143	5.21757	4.96516	11.5804
0.252506	5.18194	2.28801	6.03398	2.27001				4.74357	3.40781	4.63653	3.41704			6.59879	5.2037	6.75407	5.29322		
0.280562	5.13184	2.34153	6.06876	2.32369				4.77123	3.41527	4.65307	3.42587			6.62834	5.26096	6.79642	5.36975		
0.308619	5.08364	2.39508	6.10282	2.37774				4.79882	3.42288	4.66971	3.43488			6.65724	5.31829	6.83847	5.44716		
0.336675	5.03752	2.44864	6.13619	2.43216				4.82631	3.43066	4.68644	3.44405			6.6854	5.37571	6.88021	5.52543		
0.364731	4.99367	2.50222	6.16887	2.48694				4.85371	3.43861	4.70328	3.4534			6.71276	5.43322	6.92164	5.60456		
0.392788	4.95228	2.55583	6.20088	2.54204				4.881	3.44676	4.72021	3.46291			6.73925	5.49083	6.96274	5.68454		
0.420844	4.91355	2.60945	6.23224	2.59746				4.90817	3.45512	4.73724	3.4726			6.76479	5.54855	7.00352	5.76536		
0.4489	4.87766	2.6631	6.26294	2.65318				4.93523	3.46371	4.75437	3.48246			6.7893	5.60638	7.04397	5.847		
0.476956	4.8448	2.71678	6.29301	2.70919				4.96215	3.47253	4.77159	3.4925			6.81273	5.66434	7.08408	5.92946		
0.505012	4.81516	2.77049	6.32246	2.76548				4.98894	3.48161	4.78891	3.50271			6.83498	5.72244	7.12385	6.01272		
0.533069	4.78886	2.82422	6.3513	2.82202				5.01559	3.49096	4.80631	3.5131			6.856	5.78068	7.16327	6.09677		
0.561125	4.76586	2.87798	6.37954	2.8788				5.04209	3.50064	4.82381	3.52366			6.87574	5.83907	7.20233	6.18161		
0.589181	4.74609	2.93177	6.40719	2.93581				5.06847	3.51068	4.84141	3.53441			6.89427	5.8976	7.24104	6.26722		
0.617237	4.72949	2.98557	6.43426	2.99304				5.09474	3.52114	4.85909	3.54533			6.91166	5.95629	7.27939	6.35358		
0.645294	4.71599	3.0394	6.46077	3.05047				5.12088	3.53206	4.87686	3.55643			6.92798	6.01512	7.31737	6.44068		
0.67335	4.70553	3.09323	6.48673	3.10809				5.14693	3.5435	4.89472	3.56772			6.94331	6.0741	7.35498	6.52852		
0.701406	4.69803	3.14708	6.51214	3.16588				5.17288	3.55549	4.91266	3.57919			6.95771	6.13323	7.39222	6.61707		
0.729463	4.69344	3.20094	6.53702	3.22384				5.19873	3.56808	4.9307	3.59084			6.97127	6.19251	7.42908	6.70633		
0.757519	4.69169	3.2548	6.56137	3.28194				5.22451	3.58133	4.94881	3.60267			6.98405	6.25194	7.46556	6.79628		
0.785575	4.69272	3.30867	6.58521	3.34018				5.25022	3.59527	4.96701	3.6147			6.99613	6.31152	7.50166	6.8869		
0.813631	4.69645	3.36254	6.60855	3.39854				5.27585	3.60996	4.9853	3.6269			7.00758	6.37124	7.53738	6.97819		
0.841688	4.70282	3.41641	6.6314	3.45701				5.30144	3.62544	5.00366	3.6393			7.01847	6.43111	7.57271	7.07012		
0.869744	4.71177	3.47027	6.65376	3.51558				5.32697	3.64176	5.0221	3.65188			7.02889	6.49113	7.60766	7.16269		
0.8978	4.72323	3.52412	6.67564	3.57424				5.35246	3.65897	5.04062	3.66465			7.03889	6.55129	7.64221	7.25588		
0.925856	4.73713	3.57797	6.69706	3.63297				5.37791	3.67711	5.05922	3.67762			7.04856	6.6116	7.67638	7.34966		
0.953912	4.75341	3.63179	6.71802	3.69177				5.40334	3.69623	5.0779	3.69077			7.05796	6.67206	7.71015	7.44404		
0.981969	4.77201	3.68561	6.73853	3.75063				5.42875	3.71638	5.09664	3.70412			7.06717	6.73266	7.74352	7.53899		
1.01002	4.79285	3.7394	6.75861	3.80952				5.45415	3.7376	5.11546	3.71765			7.07627	6.79341	7.77651	7.6345		
1.03808	4.81587	3.79317	6.77825	3.86845				5.47954	3.75995	5.13436	3.73138			7.08532	6.85431	7.80909	7.73055		
1.06614	4.84101	3.84692	6.79747	3.92739				5.50494	3.78346	5.15332	3.74531			7.0944	6.91535	7.84128	7.82713		
