timepoint	epi	muscle	neuron
2_175_1_1	0hpa1	0.501220556956002	0.465403374662237	0.206482751554285
0_6_3	10dpa1	0.48594480633137	0.1960773130133	0.262251023339555
0_12_3	10dpa1	0.50978588530205	0.424097439524736	0.195260370788449
0_13_3	10dpa1	1.11179079065879	-0.0255779313159841	-0.147476417243427
0_14_3	10dpa1	0.955492318646067	0.0763166565518592	0.244699082776374
0_19_0_3	10dpa1	0.702558872813127	0.528291805361356	-0.177880418175757
0_22_3	10dpa1	0.212892161851783	0.682199399185313	0.231393760384806
0_23_3	10dpa1	0.525231243330099	0.14234076062108	0.472834965935966
0_25_3	10dpa1	0.234291977163573	0.250925326015755	-0.231800745335894
0_37_3	10dpa1	0.0414147821731203	1.33241874305519	0.00197929014347567
0_56_3	10dpa1	-0.184325465712706	0.792641772039308	-0.181137376287822
0_61_3	10dpa1	0.598170997978583	0.32482368071498	0.056283835175323
0_62_3	10dpa1	0.995889376266767	0.40164611326327	-0.170405957112224
0_63_3	10dpa1	0.447978725303918	0.500399277686358	0.196224713585599
0_64_3	10dpa1	0.0728124393622098	0.968397924638524	-0.174740895837343
0_65_3	10dpa1	0.549120474433786	0.295079686571079	0.485898753323211
0_66_3	10dpa1	-0.260652002801554	0.251791804550536	-0.180995954320472
0_69_3	10dpa1	0.281919646673346	0.928677046592364	-0.11598679939269
0_72_3	10dpa1	0.559197902468314	0.92290324011693	-0.0446352246275092
0_76_3	10dpa1	0.515246046997237	0.440552112444305	-0.029759817611036
22_64_0_3	10dpa1	0.628898141256561	0.311831380740831	0.00816517102431885
22_64_1_3	10dpa1	0.927208608141908	0.308670225761556	0.120929016824653
22_65_0_3	10dpa1	0.631728271916069	0.31400162643042	0.431222733802251
22_65_1_3	10dpa1	0.540364236417581	0.394297068143958	-0.0279343328054849
22_66_3	10dpa1	0.366343727603109	0.497561991666155	0.0919850095288604
22_70_3	10dpa1	0.498495459805572	0.63421340647378	0.0991893729272271
22_72_0_3	10dpa1	0.346337969204398	0.155160775628406	-0.00276187198789896
22_72_1_3	10dpa1	0.576304657592869	0.274904245860746	0.303494753066398
22_73_3	10dpa1	0.534475384014459	0.837761712348956	-0.135872394071702
22_74_0_3	10dpa1	0.594910370403612	0.329300698376216	-0.0384226530771248
22_74_1_3	10dpa1	0.376115658090815	0.596200575806455	0.374587866974397
22_75_0_3	10dpa1	0.39287238306343	0.115149337498575	-0.00641037173889422
22_75_1_3	10dpa1	-0.0715884623933813	0.47056233797509	0.292862551976843
22_75_2_3	10dpa1	0.276000294074108	0.628301781431114	0.168699847296062
22_76_0_3	10dpa1	0.468415002888533	0.310003855393659	0.177527903762939
22_76_1_3	10dpa1	0.132730570544456	0.313192872249927	0.110488962990189
22_77_0_3	10dpa1	0.831836090711713	0.833528529591721	-0.0575938745772276
22_77_1_3	10dpa1	0.764412974247745	0.402225770292058	0.274561956468149
22_78_3	10dpa1	0.48490828528278	0.832178748160318	0.396457158041221
22_79_0_3	10dpa1	0.614487419815715	0.637298877410766	0.237173938293985
22_79_1_3	10dpa1	0.833926901399275	0.278845342404496	0.167077559356811
22_79_2_3	10dpa1	0.737836220395789	0.64254281789827	0.169136798268881
22_81_3	10dpa1	0.692027251187034	0.491277940241546	0.162911980978831
22_83_3	10dpa1	0.403303839700001	0.834043226102208	-0.249761136625232
