Med8								
Time	Rep1	Rep2	Rep3	Rep4	Mean	SD	SEM	T.TEST
0hpa	26.25	31.25	26.48	33.57	29.3875	3.617534842	1.808767421	
12hpa	35.7	53.27	45.5	42.22	44.1725	7.305757433	3.652878716	0.011002218
1.5dpa	46.01	61.35	60.07	50.68	54.5275	7.407583389	3.703791695	
3dpa	49.51	51.71	40.07	48.97	47.565	5.135273443	2.567636721	
								
								
smed03831								
Time	Rep1	Rep2	Rep3	Rep4	Mean	SD	SEM	T.TEST
0hpa	2.58	7.86	6.59	7.05	6.02	2.352658071	1.176329036	
12hpa	7.15	6.09	7.21	4.73	6.295	1.163256922	0.581628461	0.840944509
1.5dpa	11.01	7.4	5.4	11.93	8.935	3.062030916	1.531015458	
3dpa	19.24	21.74	14.33	16.16	17.8675	3.281741154	1.640870577	
								
								
Smed03831;med8								
Time	Rep1	Rep2	Rep3	Rep4	Mean	SD	SEM	T.TEST
0hpa	2	7.06	5.66	6.35	5.2675	2.612763543	1.508479735	
12hpa	6.06	5.75	6.99	4.42	5.805	0.64531646	0.372573632	0.43083872
1.5dpa	9.28	6.15	4.67	9.53	7.4075	2.353699216	1.358908876	
3dpa	16.32	15.26	12.49	15.44	14.8775	1.977599555	1.141767635	
