smed03831+ cells								
	Rep1	Rep2	Rep3	Rep4	Mean	SD	SEM	T.TEST
1.5dpa control RNAi	1.26	0.78	1.29	0.67	1	0.320936131	0.160468065	
1.5dpa med8 RNAi	0.15	0.26			0.205	0.077781746	0.055	0.030761007
3dpa control RNAi	0.86	1.14			1	0.197989899	0.14	
3dpa med8 RNAi	0.36	0.61	0.43	0.47	0.4675	0.105316982	0.052658491	0.010276444
								
								
								
sfrp1+ cells								
	Rep1	Rep2	Rep3	Rep4	Mean	SD	SEM	T.TEST
1.5dpa control RNAi	0.94	1.06			1	0.084852814	0.06	
1.5dpa med8 RNAi	1.33	0.86	0.89		1.026666667	0.263122278	0.151913718	0.902926902
3dpa control RNAi	0.82	1.18			1	0.254558441	0.18	
3dpa med8 RNAi	0.67	0.39	0.39	0.48	0.4825	0.132003788	0.066001894	0.025058413
