gene_id	avg_exp_control	avg_exp_rnai	exp_ratio_ctr	exp_ratio_rnai	gene_symbol	gene_type
SMED30010051	0	0.004752678	0	0.00530504	notum	Anterior
SMED30034753	0.137546639	0.096502	0.171532847	0.111405836	TrkA	Anterior
SMED30016952	0.05742053	0.02712814	0.076642336	0.031830239	fz5/8-4	Anterior
SMED30029487	0.014478449	0.003677173	0.01946472	0.00530504	ndk	Anterior
SMED30025497	0.090507323	0.070494131	0.083941606	0.063660477	SFRP-3	Anterior
SMED30022468	0.019109425	0.008429851	0.02189781	0.00795756	SFRP-1	Anterior
SMED30028733	0.074572001	0.05120395	0.098540146	0.058355438	prep	Anterior
SMED30034720	0.01581496	0.006591264	0.01946472	0.00795756	ndl-4	Anterior
SMED30004716	0.028463632	0.01654728	0.037712895	0.023872679	MMP2	Anterior
SMED30033019	0.035989433	0.019290181	0.04622871	0.021220159	ndl-5	Anterior
SMED30004877	0.025933897	0.012107024	0.032846715	0.015915119	GLRA1	Anterior
SMED30028960	0.052011083	0.048740519	0.065693431	0.055702918	ndl-1	Anterior
SMED30028104	0.02819354	0.022375462	0.03163017	0.023872679	ndl-2	Anterior
SMED30033839	0.081397846	0.079062221	0.096107056	0.098143236	sp5	Posterior
SMED30035066	0.067269375	0.057621031	0.085158151	0.074270557	axin2	Posterior
SMED30011970	0.072571456	0.069277395	0.077858881	0.071618037	dd_4427	Posterior
SMED30004238	0.001686489	0	0.00243309	0	hox4b	Posterior
SMED30032613	0.121461587	0.067859511	0.141119221	0.063660477	hox4b	Posterior
SMED30021669	0.05003939	0.034031826	0.060827251	0.039787798	lox5a	Posterior
SMED30010593	0.092334199	0.072783378	0.080291971	0.074270557	wnt11-2	Posterior
SMED30006583	0.113206977	0.100419865	0.113138686	0.090185676	fz4-1	Posterior
