	aqp+ parenchymal cells	basal cells	body wall muscle	celsr-1+ neurons	chat+ neurons 1	chat+ neurons 2	committed neoblasts	early epidermal progenitors	epidermis	epidermis DVb	gabrb-3+ neurons	germ cell progenitors	glia	goblet cells	grik1+ neurons	intestinal and DV muscle	late epidermal progenitors	ldlrr+ parenchymal cells	muscle pharynx	muscle progenitors	neoblasts 1	neoblasts 2	neuronal progenitors	otf+ neurons 1	otf+ neurons 2	para+ neurons	pgrn+ parenchymal cells 1	pgrn+ parenchymal cells 2	phagocyte progenitors 1	phagocyte progenitors 2	phagocytes	pharynx cell type	pigment cells	pkd-1+ neurons	pkd-2+ neurons	protonephridia distal tubule cells	protonephridia flame cells	protonephridia proximal tubule cells	psap+ parenchymal cells	psd+ cells	secretory 1	secretory 2	secretory 3	secretory 4	secretory 5	secretory 6	secretory 7	secretory 8	secretory 9	th+ neurons	tinc+ neurons	tph+ neurons	trpa-1+ neurons	trpm-2-1+ neurons	trpm-2-2+ neurons	unannotated 1	unannotated 2	unannotated 3	unannotated 4	unannotated 5	unannotated 6	unannotated 7	unannotated 8	unannotated 9	unannotated 10
31-Clu.31(ARZ)	0.0	0.0	0.1271617404756299	0.1928076445461059	0.0	0.1250986658552015	0.0	0.0	0.2244227357760536	0.0	0.0	0.0	0.0	0.0	0.0	0.1097226252119446	0.1552609562291295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1409064982839779	0.0	0.1847240245667389	0.1258877091944209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.208669841914956	0.0	0.0	0.0	0.1343418852446116	0.0	0.0	0.0	0.0	0.1326364106161944	0.0	0.0	0.0	0.0	0.0	0.0
3-Neoblast	0.0	0.0	0.0	0.0	0.0	0.0	0.1861497634970194	0.0	0.0	0.0	0.0	0.269042674020946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3401318784137689	0.3621245116399772	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.210463299064037	0.1897088486320449	0.1532734899219923	0.0	0.0	0.0	0.0	0.1265938171187425	0.1297654784570848	0.0
12-Otf+ neurons 2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.220409288758245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14-Otf+ neurons 1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2575771969101356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1138888164163522	0.0	0.0	0.0	0.0	0.0	0.0
18-DVB epidermal(Epi.18)	0.0	0.0	0.1008748328076689	0.125688669269686	0.0	0.0	0.0	0.0	0.1862656295786945	0.2079832953147125	0.0	0.0	0.0	0.0	0.0	0.0	0.1522030163117669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1239679908215667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1081095323089712	0.0	0.0	0.1603231841275153	0.0	0.0	0.0	0.0	0.1473112637576539	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25-CNS	0.0	0.0	0.0	0.0	0.3473695404602304	0.2482518455568029	0.0	0.0	0.0	0.0	0.1167855314738707	0.0	0.0	0.0	0.1044803287254448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.168115682554038	0.0	0.0	0.1778650856652327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1076502843342222	0.1895061480724681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1119568629715073	0.111580242395265	0.2574191240936837	0.2175513740564713	0.0	0.2101842526716445	0.0	0.0	0.0	0.1952646132405236	0.0	0.0	0.0	0.0	0.0	0.0
28-CNS progenitor	0.0	0.0	0.0	0.0	0.2532095628231713	0.2371227048662424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1446021539245414	0.0	0.0	0.1350934542433538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1083442212174082	0.1578148963765465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1017860081070784	0.0	0.1811216267263184	0.1500579752147043	0.0	0.1502039356812318	0.0	0.0	0.0	0.1597353327649983	0.0	0.0	0.0	0.0	0.0	0.0
35-Pharynx otf+ neuron	0.0	0.0	0.1065287072381033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1145004213577663	0.0	0.0	0.1823397138462347	0.1135313353966099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.113781659579161	0.0	0.0	0.0	0.0	0.0	0.0
1-Ventral epidermal progenitor (Epi.1)	0.0	0.0	0.2062875787367063	0.0	0.0	0.0	0.0	0.0	0.1592198023267183	0.0	0.0	0.0	0.0	0.0	0.0	0.1810130806772589	0.1851070477425802	0.0	0.1344927640020727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1580861471945392	0.0	0.0	0.0	0.0	0.0	0.0
15-Dorsal epidermal progenitors (early stage) (Epi.15)	0.0	0.0	0.1223949477909481	0.0	0.0	0.0	0.0	0.0	0.2073994176828917	0.0	0.0	0.0	0.0	0.0	0.0	0.108835430648004	0.34678890058374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
