	ChAT neurons 1	ChAT neurons 2	GABA neurons	activated early epidermal progenitors	aqp+ parenchymal cells	cav-1+ neurons	early epidermal progenitors	epidermal neoblasts	epidermis	epidermis DVb	epidermis DVb neoblast	glia	goblet cells	gut progenitors	late epidermal progenitors 1	late epidermal progenitors 2	ldlrr-1+ parenchymal cells	muscle body	muscle pharynx	muscle progenitors	neoblast 1	neoblast 2	neoblast 3	neoblast 4	neoblast 5	neoblast 6	neoblast 7	neoblast 8	neoblast 9	neoblast 10	neoblast 11	neoblast 12	neoblast 13	neural progenitors	npp-18+ neurons	otf+ cells 1	otf+ cells 2	parenchymal progenitors	pgrn+ parenchymal cells	phagocytes	pharynx cell type	pharynx cell type progenitors	pigment	protonephridia	psap+ parenchymal cells	psd+ cells	secretory 1	secretory 2	secretory 3	secretory 4	spp-11+ neurons
31-Clu.31(ARZ)	0.1747859309344271	0.2705584504594767	0.3615652068656553	0.0	0.0	0.3387495556136692	0.0	0.0	0.41307245698376	0.1455714218054631	0.0	0.0	0.0	0.0	0.2864841370914263	0.3247790896613559	0.0	0.1776664268911035	0.1567435794150886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2367005200723634	0.0	0.0	0.1302361683512486	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3-Neoblast	0.0	0.0	0.0	0.1482607718935284	0.0	0.0	0.0	0.1093509547354558	0.0	0.0	0.2695299316224583	0.0	0.0	0.3526914256101043	0.0	0.0	0.0	0.0	0.0	0.0	0.6028945915921152	0.0	0.2274450828135855	0.1464860185542547	0.2844933461551302	0.3538085070519357	0.1577539573298438	0.0	0.275276533543602	0.406160443297784	0.2371064514777923	0.2526595054902915	0.244978001911671	0.0	0.0	0.0	0.0	0.2492296676732328	0.1121599329452883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12-Otf+ neurons 2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1473895531534263	0.1245231114470155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.428075644484103	0.0	0.167292424275217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14-Otf+ neurons 1	0.1349311120290599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1119721068813869	0.1340581595547257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1240215135419075	0.4267735234509041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18-DVB epidermal(Epi.18)	0.1084462423163847	0.1513483062940311	0.2184099674324455	0.0	0.0	0.2155842504766647	0.0	0.0	0.3128493786591913	0.2980567277246149	0.0	0.0	0.0	0.0	0.2565662414511485	0.2851768579625663	0.0	0.133452051951174	0.1117972430413411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1532298828381691	0.0	0.0	0.0	0.0	0.0	0.0	0.1597104165793488	0.0	0.0	0.0
25-CNS	0.4971337434691468	0.3670519229125823	0.1598960265327852	0.0	0.0	0.1659438616717271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2704859391594674	0.2713858542761744	0.1184249078703376	0.1170917766224684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1945374276219219
28-CNS progenitor	0.3908490175617037	0.3680003284893794	0.1949053965583189	0.0	0.0	0.1793639416720732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2735510389432546	0.1985286774205215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1373247949315105
35-Pharynx otf+ neuron	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20341757971557	0.2585911295239297	0.1629355410659865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1081792622434593	0.1400190451286217	0.2010349507950386	0.0	0.109693302430947	0.0	0.0	0.2574748544641592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1-Ventral epidermal progenitor (Epi.1)	0.1397117510477725	0.1263091720372406	0.1358887776681766	0.0	0.0	0.1480342660127905	0.0	0.0	0.230540558823599	0.0	0.0	0.0	0.0	0.0	0.3145863123583126	0.3621786663549718	0.0	0.2965966468993625	0.2506376830011874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1208911775322739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15-Dorsal epidermal progenitors (early stage) (Epi.15)	0.0	0.0	0.0	0.0	0.0	0.0	0.1549940538683181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5233974808921061	0.5876358529650894	0.0	0.1401489995418566	0.1218540785255588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1099058666940245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
