	Cathepsin+ cells	Epidermal	Intestine	Muscle	Neoblast	Neural	Parapharyngeal	Pharynx	Protonephridia
31-Clu.31(ARZ)	0.0	0.1921641136362495	0.0	0.142178880492435	0.0	0.315604796405891	0.0	0.211329148283559	0.1500864805332431
3-Neoblast	0.0	0.0	0.1466970860970812	0.0	0.6136110590618113	0.0	0.0	0.0	0.0
12-Otf+ neurons 2	0.1552610902317575	0.0	0.0	0.1474174129394437	0.0	0.0	0.0	0.0	0.0
14-Otf+ neurons 1	0.0	0.0	0.0	0.0	0.0	0.1011433296286869	0.0	0.0	0.0
18-DVB epidermal(Epi.18)	0.0	0.2116692040516912	0.0	0.0	0.0	0.1855944909227833	0.0	0.1305629052683136	0.0
25-CNS	0.0	0.0	0.0	0.0	0.0	0.4230493561852246	0.0	0.0	0.0
28-CNS progenitor	0.0	0.0	0.0	0.0	0.0	0.3932011812506716	0.0	0.0	0.0
35-Pharynx otf+ neuron	0.0	0.0	0.0	0.2893147621988628	0.0	0.0	0.0	0.1598380784565687	0.0
1-Ventral epidermal progenitor (Epi.1)	0.0	0.1750837704325163	0.0	0.2604091198267346	0.0	0.1609347413744651	0.0	0.0	0.0
15-Dorsal epidermal progenitors (early stage) (Epi.15)	0.0	0.3455873608398125	0.0	0.1224229069933863	0.0	0.0	0.0	0.0	0.0
20-Ventral epidermal(Epi.20)	0.0	0.1715038148902379	0.0	0.0	0.0	0.1729265660158798	0.0	0.3411694777687095	0.1919947817232871
24-Dorsal epidermal(Epi.24)	0.0	0.2353296522110558	0.0	0.1713412329795594	0.0	0.0	0.0	0.2304462420842626	0.107852391461903
30-Dorsal epidermal progenitors (late stage) (Epi.30)	0.0	0.2154088347770439	0.0	0.1513874574963434	0.0	0.0	0.0	0.0	0.0
17-Dorsal body wall muscle	0.0	0.0	0.0	0.301921333719639	0.0	0.0	0.0	0.0	0.0
27-Muscle	0.0	0.213500349248522	0.0	0.0	0.1531555571481174	0.0	0.0	0.0	0.0
0-Parapharyngeal parenchymal progenitor	0.0	0.0	0.1784660752474448	0.0	0.2442775448751099	0.0	0.1385471996096962	0.0	0.0
4-Parapharyngeal parenchymal 4	0.0	0.0	0.0	0.0	0.261496511917242	0.0	0.158059722404878	0.0	0.0
7-Scattered parenchymal late progenitor	0.0	0.0	0.0	0.0	0.4915702410175803	0.0	0.1683082668729891	0.0	0.0
9-Scattered parenchymal early progenitor	0.0	0.0	0.1796758100069985	0.0	0.548010622749207	0.0	0.1382811022444879	0.0	0.0
13-Parapharyngeal parenchymal 3	0.1751670928424745	0.0	0.4082786669618734	0.0	0.2110656633514372	0.0	0.0	0.0	0.0
22-Scattered parenchymal	0.0	0.0	0.1080020939748373	0.0	0.5826218774425567	0.0	0.0	0.0	0.0
23-Parapharyngeal parenchymal 1	0.0	0.0	0.105582621866915	0.0	0.2378331102276816	0.0	0.1272201297576396	0.0	0.0
26-DVB parenchymal	0.0	0.117728469693062	0.0	0.0	0.2298422830096369	0.0	0.2728266130510368	0.0	0.0
32-Parapharyngeal parenchymal 2	0.0	0.0	0.2291492602152343	0.0	0.1628903640539238	0.0	0.1060174675627542	0.0	0.0
33-Prepharyngeal parenchymal progenitor	0.0	0.0	0.0	0.0	0.3236942809694327	0.0	0.0	0.0	0.0
2-Gastrovascular cavity progenitor	0.1959339287502806	0.0	0.4804549304104143	0.0	0.0	0.0	0.0	0.0	0.0
5-Goblet cells progenitor (Intestine)	0.1223087778642593	0.0	0.349075120597342	0.0	0.0	0.0	0.0	0.0	0.0
8-Goblet cells	0.1576626253001986	0.0	0.4145264918060891	0.0	0.0	0.0	0.0	0.0	0.0
10-Cathepsin+ cells progenitor	0.1991863918586254	0.0	0.4582506907727495	0.0	0.0	0.0	0.0	0.0	0.0
21-Cathepsin+ cells	0.1400124417492554	0.0	0.3554166980082088	0.0	0.0	0.0	0.0	0.0	0.0
6-Phagocytes progenitor	0.246301293256462	0.0	0.4932336983507109	0.0	0.0	0.0	0.0	0.0	0.0
11-Prepharyngeal parenchymal	0.0	0.0	0.0	0.0	0.4986625312840425	0.0	0.20095845432065	0.0	0.0
16-Phagocytes	0.2055213845738543	0.0	0.4627766379821059	0.0	0.0	0.0	0.0	0.0	0.0
19-Pharynx	0.0	0.0	0.0	0.3637297856046041	0.0	0.1572299214473548	0.0	0.4220837870623443	0.0
29-Pharynx pouch	0.0	0.0	0.0	0.2162128012157634	0.0	0.0	0.0	0.286856368200545	0.0
34-Protonephridia	0.0	0.1516910812753493	0.0	0.0	0.3266269646314308	0.0	0.1572121010032185	0.0	0.0
