	CNS	Epidermis	Ventral epidermis	Anterior body	Body wall-1	Body wall-2	Genital chamber	Gut	Gut-1	Gut-2	Secertory	Pharynx	Protonephridia	Wounds
31-Clu.31(ARZ)	0.2198456548530071	0.6295393118885344	0.349856002707659	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3551241737378784	0.0	0.0
3-Neoblast	0.0	0.0	0.0	0.4561190240769206	0.0	0.0	0.2703893050488222	0.0	0.0	0.0	0.0	0.0	0.0	0.2937293021276869
12-Otf+ neurons 2	0.2658915466444631	0.0	0.4208646439139641	0.0	0.0	0.0	0.3047358034468455	0.0	0.0	0.0	0.0	0.0	0.3532782770214188	0.3047479842208593
14-Otf+ neurons 1	0.4700737068051187	0.3754398818645121	0.6146815721229502	0.369559518455598	0.0	0.0	0.2895381429391155	0.0	0.0	0.0	0.2126826761336945	0.0	0.3830894937848005	0.0
18-DVB epidermal(Epi.18)	0.2005264733634577	0.5910000190302535	0.4025590936041225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2265635441136191	0.2110005038664263	0.0
25-CNS	0.7445968466126793	0.0	0.6150760817468527	0.3238796226975006	0.0	0.0	0.2255163205689456	0.0	0.0	0.0	0.2165263464162161	0.0	0.2505115119615712	0.0
28-CNS progenitor	0.6629066276531553	0.0	0.5124075252257299	0.367469280495	0.0	0.0	0.2441981219348709	0.0	0.0	0.0	0.0	0.0	0.3047082678188521	0.0
35-Pharynx otf+ neuron	0.0	0.0	0.0	0.0	0.0	0.0	0.2424848641136683	0.0	0.0	0.0	0.0	0.467340671778777	0.3063257052118837	0.0
1-Ventral epidermal progenitor (Epi.1)	0.2863975494995218	0.6677731516878876	0.5541092204975703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2737796729426172	0.261821560039945	0.0
15-Dorsal epidermal progenitors (early stage) (Epi.15)	0.0	0.6503403188314477	0.4198688012755097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2174341649276889	0.0
20-Ventral epidermal(Epi.20)	0.0	0.5766025918532038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3246133153804715	0.0	0.0
24-Dorsal epidermal(Epi.24)	0.0	0.7195063100395546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2101925562195762	0.0	0.0
