seurat_clusters	timepoint	cell_number	total_number	ratio	color	arr_x	arr_y	y	x
c0	0hpa1	38072	311367	0.12227371558321852	#d60000	0	7	7	18
c0	10dpa1	17330	120473	0.14384965925975116	#d60000	0	1	1	18
c0	12hpa2	13354	226908	0.058852045763040525	#d60000	0	6	6	18
c0	14dpa1	10143	85403	0.11876631968432022	#d60000	0	0	0	18
c0	36hpa2	276	270849	0.0010190179768062647	#d60000	0	5	5	18
c0	3dpa2	1291	207475	0.006222436438125076	#d60000	0	4	4	18
c0	5dpa1	6845	163838	0.04177907445159243	#d60000	0	3	3	18
c0	7dpa2	13074	125804	0.10392356363867604	#d60000	0	2	2	18
c0	WT	71235	865719	0.08228420538303999	#d60000	0	8	8	18
c1	0hpa1	11794	311367	0.03787813095157804	#e2afaf	1	7	7	20
c1	10dpa1	5802	120473	0.048160168668498336	#e2afaf	1	1	1	20
c1	12hpa2	6880	226908	0.030320658592909902	#e2afaf	1	6	6	20
c1	14dpa1	5002	85403	0.0585693710993759	#e2afaf	1	0	0	20
c1	36hpa2	9540	270849	0.03522257789395567	#e2afaf	1	5	5	20
c1	3dpa2	3712	207475	0.017891312206289915	#e2afaf	1	4	4	20
c1	5dpa1	7919	163838	0.04833433025305485	#e2afaf	1	3	3	20
c1	7dpa2	4887	125804	0.03884614161711869	#e2afaf	1	2	2	20
c1	WT	65548	865719	0.07571509924120876	#e2afaf	1	8	8	20
c10	0hpa1	11462	311367	0.03681186509809967	#0000dd	10	7	7	30
c10	10dpa1	3505	120473	0.029093655839897738	#0000dd	10	1	1	30
c10	12hpa2	13533	226908	0.059640911735152576	#0000dd	10	6	6	30
c10	14dpa1	1461	85403	0.017107127384283924	#0000dd	10	0	0	30
c10	36hpa2	10365	270849	0.03826855554201788	#0000dd	10	5	5	30
c10	3dpa2	10494	207475	0.050579587902156886	#0000dd	10	4	4	30
c10	5dpa1	4008	163838	0.024463189247915625	#0000dd	10	3	3	30
c10	7dpa2	4104	125804	0.03262217417570189	#0000dd	10	2	2	30
c10	WT	34093	865719	0.039381138683568226	#0000dd	10	8	8	30
