hood_inte.seurat_clusters	timepoint	cell_number	total_number	ratio	color	arr_x	arr_y	y	x
c0	0hpa1	260	19546	0.01330195436406426	#d93978	0	16	16	0
c0	10dpa1	23	18770	0.0012253596164091636	#d93978	0	22	22	0
c0	12hpa2	40	28770	0.0013903371567605145	#d93978	0	17	17	0
c0	7dpa2	164	32104	0.005108397707450785	#d93978	0	21	21	0
c1	0hpa1	642	19546	0.03284559500665098	#8d001f	1	16	16	29
c1	10dpa1	1075	18770	0.057272242940863076	#8d001f	1	22	22	29
c1	12hpa2	1809	28770	0.06287799791449426	#8d001f	1	17	17	29
c1	14dpa1	1180	20129	0.058621888817129514	#8d001f	1	23	23	29
c1	36hpa2	1728	30104	0.05740100983258039	#8d001f	1	18	18	29
c1	3dpa2	457	26545	0.017216048220003766	#8d001f	1	19	19	29
c1	5dpa1	1154	26727	0.04317731133310884	#8d001f	1	20	20	29
c1	7dpa2	808	32104	0.02516820333914777	#8d001f	1	21	21	29
c10	0hpa1	306	19546	0.015655377059244857	#8c452b	10	16	16	7
c10	10dpa1	160	18770	0.008524240809802876	#8c452b	10	22	22	7
c10	12hpa2	463	28770	0.016093152589502953	#8c452b	10	17	17	7
c10	14dpa1	246	20129	0.012221173431367678	#8c452b	10	23	23	7
c10	36hpa2	410	30104	0.013619452564443264	#8c452b	10	18	18	7
c10	3dpa2	478	26545	0.018007157656809193	#8c452b	10	19	19	7
c10	5dpa1	474	26727	0.01773487484566169	#8c452b	10	20	20	7
c10	7dpa2	889	32104	0.027691253426364314	#8c452b	10	21	21	7
c11	0hpa1	3018	19546	0.15440499334902283	#be5d37	11	16	16	9
c11	10dpa1	180	18770	0.009589770911028236	#be5d37	11	22	22	9
c11	12hpa2	1801	28770	0.06259993048314216	#be5d37	11	17	17	9
c11	14dpa1	23	20129	0.0011426300362660838	#be5d37	11	23	23	9
c11	36hpa2	320	30104	0.010629816635663035	#be5d37	11	18	18	9
c11	3dpa2	721	26545	0.02716142399698625	#be5d37	11	19	19	9
c11	5dpa1	223	26727	0.00834362255397164	#be5d37	11	20	20	9
c11	7dpa2	376	32104	0.01171193620732619	#be5d37	11	21	21	9
c12	0hpa1	1473	19546	0.07536068760871789	#9a3100	12	16	16	33
c12	10dpa1	282	18770	0.01502397442727757	#9a3100	12	22	22	33
c12	12hpa2	1819	28770	0.06322558220368439	#9a3100	12	17	17	33
c12	14dpa1	105	20129	0.0052163545133886435	#9a3100	12	23	23	33
c12	36hpa2	1219	30104	0.040492957746478875	#9a3100	12	18	18	33
c12	3dpa2	1502	26545	0.05658316067055943	#9a3100	12	19	19	33
c12	5dpa1	1464	26727	0.054776069143562686	#9a3100	12	20	20	33
c12	7dpa2	1274	32104	0.03968352853227012	#9a3100	12	21	21	33
c13	7dpa2	260	32104	0.008098679292300025	#c05c27	13	21	21	3
c14	0hpa1	737	19546	0.0377059244858283	#8d5328	14	16	16	32
c14	10dpa1	1421	18770	0.0757059136920618	#8d5328	14	22	22	32
c14	12hpa2	1089	28770	0.037851929092805006	#8d5328	14	17	17	32
c14	14dpa1	661	20129	0.032838193650951364	#8d5328	14	23	23	32
c14	36hpa2	1423	30104	0.04726946585171406	#8d5328	14	18	18	32
c14	3dpa2	2205	26545	0.0830664908645696	#8d5328	14	19	19	32
c14	5dpa1	2379	26727	0.08901111235828937	#8d5328	14	20	20	32
c14	7dpa2	2985	32104	0.09297906802890606	#8d5328	14	21	21	32
c15	0hpa1	797	19546	0.04077560626215082	#99721d	15	16	16	26
c15	10dpa1	773	18770	0.04118273841236015	#99721d	15	22	22	26
c15	12hpa2	1294	28770	0.04497740702120264	#99721d	15	17	17	26
c15	14dpa1	770	20129	0.03825326643151672	#99721d	15	23	23	26
c15	36hpa2	4133	30104	0.1372907254849854	#99721d	15	18	18	26
c15	3dpa2	2466	26545	0.09289885100772273	#99721d	15	19	19	26
c15	5dpa1	1681	26727	0.06289519961088039	#99721d	15	20	20	26
c15	7dpa2	1363	32104	0.04245576875155744	#99721d	15	21	21	26
c16	0hpa1	319	19546	0.016320474777448073	#866800	16	16	16	35
c16	10dpa1	261	18770	0.013905167820990943	#866800	16	22	22	35
c16	12hpa2	1330	28770	0.046228710462287104	#866800	16	17	17	35
c16	14dpa1	820	20129	0.040737244771225596	#866800	16	23	23	35
c16	36hpa2	1405	30104	0.04667153866595801	#866800	16	18	18	35
c16	3dpa2	921	26545	0.034695799585609345	#866800	16	19	19	35
c16	5dpa1	845	26727	0.03161596887043065	#866800	16	20	20	35
