	AP	frizzled5/8-4	ndk	zic-2	prep	sfrp-1	fz5_8-3	ndl-4	ndl-1	ptk7	ndl-3	wntA	teashirt	wntP-2 / wnt11-5	wntless	sfrp-2	wnt2	ndl-2	ndl-5	wnt11-2	dd4427	dd13065	sp5	fz4-1	Post-2c	hox4b
0	-1	54.5002887	185.2051064	8.235014588	96.70619416	60.16037364	122.3513494	202.5221233	85.54732777	1.325086909	1.323860531	18.28330729	3.353507092	3.305867066	20.43744552	58.89645373	3.79717125	8.933025019	14.20570173	2.866329333	5.011422433	13.8714062	2.559667424	0.956770188	0.50646429	1.150364547
1	0	54.5002887	185.2051064	8.235014588	96.70619416	60.16037364	122.3513494	202.5221233	85.54732777	1.325086909	1.323860531	18.28330729	3.353507092	3.305867066	20.43744552	58.89645373	3.79717125	8.933025019	14.20570173	2.866329333	5.011422433	13.8714062	2.559667424	0.956770188	0.50646429	1.150364547
2	1	54.5002887	182.1851243	8.235014588	96.70619416	60.16037364	116.3037069	123.4782947	85.54732777	1.325086909	1.323860531	18.28330729	3.353507092	3.305867066	20.43744552	58.89645373	3.79717125	8.933025019	14.20570173	2.866329333	5.011422433	13.8714062	2.559667424	0.956770188	0.50646429	1.150364547
3	2	55.12314914	116.573742	8.235014588	96.02199009	62.434075	127.4811769	104.3380057	66.35596214	1.325086909	1.323860531	18.28330729	3.353507092	3.305867066	20.43744552	58.89645373	3.79717125	8.933025019	14.20570173	2.866329333	5.011422433	13.8714062	2.559667424	0.956770188	0.50646429	1.150364547
4	3	57.85101698	122.7681168	8.235014588	118.1127257	53.74029571	111.3664655	78.08535653	41.9809705	1.325086909	1.323860531	18.28330729	3.353507092	3.305867066	20.43744552	52.24561913	3.79717125	8.933025019	14.20570173	2.866329333	5.011422433	13.8714062	2.559667424	0.956770188	0.50646429	1.150364547
5	4	59.40839171	121.7311092	8.235014588	89.92821471	53.81464836	97.4974518	81.50908404	52.113681	1.325086909	1.323860531	18.28330729	3.353507092	3.305867066	20.43744552	44.11894016	3.79717125	8.933025019	14.20570173	2.866329333	5.011422433	13.8714062	2.559667424	0.956770188	0.50646429	1.150364547
6	5	50.04065615	136.0825144	8.235014588	73.57227612	54.49153082	78.14205861	63.57832967	68.73531423	1.325086909	1.323860531	18.28330729	3.353507092	3.305867066	19.94886539	43.66510779	3.79717125	8.933025019	14.20570173	2.866329333	5.011422433	13.8714062	2.559667424	0.956770188	0.50646429	1.150364547
7	6	55.18846465	111.6889542	8.235014588	47.97985867	37.52000699	83.41926214	61.34887323	75.32110777	1.325086909	1.323860531	18.28330729	3.353507092	3.305867066	18.98648366	40.35816103	3.79717125	8.933025019	14.64736112	2.866329333	5.011422433	14.30267223	2.559667424	0.956770188	0.50646429	1.150364547
8	7	51.95821662	91.21102589	8.235014588	47.86862725	25.15913451	78.81151975	45.943347	86.59428869	1.325086909	1.323860531	18.28330729	3.353507092	3.305867066	19.91022148	35.20584628	3.79717125	8.933025019	15.02979739	2.866329333	5.011422433	11.76687961	2.559667424	0.956770188	0.50646429	1.150364547
9	8	55.67760511	87.57240956	8.405846093	64.90852342	20.68485622	70.87157052	48.95065814	70.0099751	1.325086909	1.323860531	18.28330729	3.353507092	3.305867066	21.88209994	37.56302102	3.79717125	8.950976338	18.58615943	2.866329333	5.011422433	9.543243649	2.559667424	0.956770188	0.50646429	1.150364547
10	9	63.37388465	87.97569895	9.018345244	51.4673563	17.24623209	42.37920735	41.45877388	51.55140853	1.325086909	1.323860531	18.58844707	3.353507092	3.305867066	22.01570499	36.49574063	3.79717125	8.325230495	18.64179977	2.866329333	5.011422433	8.473929054	2.559667424	0.956770188	0.50646429	1.150364547
11	10	52.25367826	87.20738791	9.016711827	51.34980951	15.48120246	36.7705769	42.82016617	59.84224158	1.325086909	1.323860531	19.66284583	3.353507092	3.305867066	23.40316297	36.80513825	3.79717125	8.451961354	25.85950368	2.866329333	5.011422433	8.608440169	2.559667424	0.956770188	0.50646429	1.150364547
12	11	50.17894698	82.39994134	8.835945306	65.55776522	12.98796366	35.54463382	39.63592158	51.74314428	1.325086909	1.323860531	20.16471262	3.353507092	3.305867066	22.91297922	37.05775652	3.79717125	9.347114255	36.20746932	2.866329333	5.011422433	7.18331632	2.559667424	0.956770188	0.50646429	1.150364547
13	12	37.64484436	75.10229728	9.513623703	71.96094796	12.18177922	38.80697921	25.09884794	56.18110534	1.325086909	1.323860531	18.99140063	3.356740557	3.305867066	21.33310315	27.39940939	3.833543577	8.803239345	46.45524524	2.866329333	5.011422433	6.243222263	2.559667424	0.956770188	0.50646429	1.150364547
14	13	34.0657349	87.59620754	9.123372995	59.90273406	11.34456079	35.33292691	19.61959814	50.60430878	1.325086909	1.323860531	18.26669375	3.424428427	3.305867066	19.0930397	28.67628397	3.957658575	7.660289613	41.23359513	2.866329333	5.011422433	5.187563881	2.559667424	0.956770188	0.50646429	1.150364547
15	14	29.25299624	75.30454825	10.65512324	48.43681537	13.02883967	29.16511091	17.98988652	51.79054421	1.325086909	1.323860531	18.34611851	3.667258327	3.305867066	19.40370492	22.91084965	4.029999491	6.771034528	27.5364081	2.650257991	5.011422433	4.786583896	2.559667424	0.956770188	0.50646429	1.150364547
16	15	36.60582309	85.39223286	9.63962185	41.5578895	13.45788221	28.44244529	17.2569452	40.29007853	1.325086909	1.323860531	15.71215536	3.843393475	3.305867066	15.82806464	20.33418644	3.480930188	7.463320922	29.71251107	2.690368946	5.011422433	4.829205874	2.559667424	0.956770188	0.50646429	1.150364547
17	16	43.87225282	100.05567	9.302180309	33.10528015	19.79560581	27.02374067	13.99524673	36.88676098	1.325086909	1.323860531	14.32976966	4.064423397	3.305867066	16.66335894	19.85414387	2.864829664	8.330471412	21.47885552	2.773555123	5.011422433	4.46079897	2.559667424	0.956770188	0.50646429	1.150364547
18	17	38.48650098	69.2073307	9.366330956	38.48282513	21.8192687	24.78995109	12.25126293	32.28508736	1.325086909	1.323860531	14.67045494	4.01258692	3.305867066	16.84180379	21.72862527	3.124459967	8.235522661	21.03586777	2.898760853	5.011422433	4.178801413	2.572634511	0.956770188	0.50646429	1.150364547
19	18	29.935237	57.50075021	8.20889739	33.94220028	16.45371396	32.02600213	13.49235739	33.53873652	1.325086909	1.323860531	14.1483787	4.429492875	3.305867066	13.93508738	25.16412891	3.050004351	8.594923467	25.44417909	2.769602689	5.011422433	3.582016745	2.616023096	0.956770188	0.50646429	1.150364547
20	19	27.80499492	57.07021683	7.54398306	32.68760006	19.97063444	32.31848356	17.71893837	45.10692281	1.325086909	1.323860531	14.65947927	4.460381668	3.305867066	15.36685244	21.43404963	2.815220266	8.76879472	22.16733528	2.568611485	5.011422433	3.145622265	2.691227826	0.956770188	0.50646429	1.150364547
21	20	18.77027108	72.36663996	7.33270471	29.61489606	19.09795222	44.99027846	17.69458234	42.09667317	1.325086909	1.323860531	15.90578124	4.372888389	3.305867066	13.06164731	28.97066382	2.395902597	9.857409272	25.7063176	2.33582311	5.011422433	3.312763383	2.929872034	0.956770188	0.50646429	1.150364547
