	WT	0hpa	12hpa	36hpa	3dpa	5dpa	7dpa	10dpa	14dpa
wnt2	1.236870236434204	0.5090510414186565	2.608673323387556	1.3972620297434235	2.5663520893778786	0.7437354422237049	0.2884466539146495	4.813814511007716	0.2826054543667614
TrkA	3.0553932943193214	0.131429805	0.196608292	0.1750579311696805	0.8768437430438525	2.2932049418452447	0.4100022783927377	4.689865825755051	3.687063520622031
sFRP-3	2.109909051071269	0.2015310700178134	-0.380263972	-0.394782056	2.8245891259624565	1.1051718573153186	0.9369561	3.1799494245848567	-0.982823146
fz5/8-3	2.8401227879912536	0.2762149753009437	-0.447198306	0.3884963305380746	2.177988613682805	4.965157391012496	1.3298049192812196	4.362010019091777	2.993697985955026
bche	0.3403018019326702	-0.353972105	-0.372114793	-0.316136166	0.6302681994896746	2.234448717634801	2.3333918480344527	4.469070911035346	1.103455879311641
sFRP-1	2.437432135953872	-0.425412781	0.035054549	0.8324504999898589	3.913095407422313	2.8409081907112483	3.213634489922461	6.146170427463138	1.3688526892166772
zic-1	1.8747791636467144	-0.335971862	0.015487167	0.9267154301340343	3.6759398216697674	2.507727859790731	3.390447585921248	6.390437061189124	1.0016855765786516
ndl-5	2.1398265413098088	0.2803696175638955	0.2026792286151638	0.6958557179214724	2.726715350540762	2.6285068477069222	1.374003346250988	4.322609227406547	0.7132356330755436
prep	2.771705800372493	-0.261989221	0.202454987	1.354887992	4.171086213197155	3.6544827776033366	1.0185886388644514	5.024824397	0.6469791479894099
ndl-2	1.055967484383954	0.4334434254323916	0.1407711372191908	0.5437535800654912	3.478539103050056	3.010134314	1.7318592969474471	2.9068947171348314	0.038413392
glra1	0.3835588708352536	-0.444852302	-0.223727237	0.3040122695905031	2.146672858745949	2.8152392476544263	2.479123967579661	3.620180977357868	0.4093870174204532
mmp2	0.8855383889863806	-0.425291155	-0.214835787	0.2088401569892945	2.266860572808637	2.4839726029315683	2.549214227903833	2.627388960872806	0.6971729998004551
ndl-1	1.6724593968942625	-0.170788673	-0.436035519	-0.047805363	2.192467803956105	3.634409141272827	2.137767559829987	5.294851140028229	1.4352533970720616
zic-2	0.9194787044744596	0.082868873	0.035344443	0.272843144	4.671981973943733	4.321131370979176	2.3669182016268824	4.587708170529967	1.6150671388402398
