	WT	0hpa	12hpa	36hpa	3dpa	5dpa	7dpa	10dpa	14dpa
wnt2	-0.766274342	-0.153669585	-0.436998808	-0.65192916	0.1487689100242278	-1.189737429	-1.015831593	-1.068818867	-1.040739079
TrkA	0.536301163	-0.583667127	-0.798060254	-0.433618895	0.8428407605717746	0.483384846	1.828326596388985	0.8265205009966367	0.267119431
sFRP-2	-1.043008334	-0.268834569	-0.629744905	-0.612474363	-0.322845905	-0.244175258	-0.727930926	-0.932528755	-1.357236315
fz5/8-3	-0.388328584	-0.098844959	-0.62806087	-0.608793491	-0.404183694	-0.556336985	-0.184331917	-0.306608216	-0.715499677
bche	-0.242000103	-0.317351446	-0.539450899	-0.595694509	-0.117488388	-0.278316449	0.5799608829151124	0.551338856	-0.196825774
sFRP-1	-0.365400696	-0.502105961	-0.393019997	-0.436548612	0.063739439	-0.193913114	-0.502105961	-0.049742818	-0.502105961
zic-1	-0.573198858	-0.710481842	0.2246638163975882	-0.193467554	-0.290073395	-0.578706841	-0.710481842	0.1563653888132597	-0.155772111
ndl-5	-0.784715632	-0.599602989	-0.563500009	-0.609892857	-0.573182779	-0.863584842	-0.887273108	-0.914348345	-0.76103079
prep	0.073898318	0.8250476669680654	0.1789462718209842	0.3001138156588456	0.8344487999576219	0.2778170108838655	-0.073895964	-0.497405828	-1.110955065
ndl-2	-1.087558024	-0.784826332	-0.527835953	-0.633714805	-0.613981806	-0.812828261	-0.959478565	-0.55532137	-0.407893148
glra1	-0.427417664	-0.062108312	-0.57366752	-0.352397592	0.025688639	-0.312325193	-0.272172693	0.4906378843587174	-0.700353599
mmp2	-0.485739753	-0.144940836	-0.482121939	-0.608732458	-0.306666615	-0.373022964	0.2417749357942775	0.2383155454370286	-0.686469366
ndl-1	-0.535293939	-0.37187106	-0.528060636	-0.56980443	0.079210749	-0.487861319	-0.186602406	-0.110167931	-1.049341521
zic-2	-0.376226063	-0.254261611	-0.533939096	-0.549830539	0.03420257	-0.41110832	-0.400275951	-0.835332021	-0.381864891
fz5/8-4	-0.441076659	-0.669188709	-0.274295724	-0.417085749	0.014834758	-0.166229051	-0.452220055	-0.210102079	-0.521357056
ndk	-0.551953654	-0.404826747	-0.543704199	-0.373026573	-0.313158687	-0.42764399	-0.511762163	-0.488659246	-0.572155017
ndl-4	-0.287827711	-0.555874999	-0.441279238	-0.384857885	-0.076336729	-0.485657014	-0.328149707	-0.314691723	-0.120098491
dd_36502	2.4992137521613085	-0.248686787	-0.578301757	-0.407217568	0.463950282	0.50212477	0.3941194280900815	6.109556930206922	0.2248102535672177
sp5	1.7697239024631446	-0.335629734	0.4833879339485894	0.3453806139626982	4.4050008144270825	3.8450407699044415	2.4874080289113243	2.159392807551737	1.796320001859642
axin2	1.3986540886729104	-0.597036783	0.6048125739179474	0.3293876812883014	4.6353975855941325	2.6523279750643507	2.539993038177873	3.1038378942430462	1.2752658134940948
wntP-2	1.4180883963576425	0.1750939738993691	-0.383077826	-0.23109684	3.247693564820398	2.1548870488895564	2.4580689155511437	3.191619066189798	1.3662404432010675
