expression	sample_full	bin_id	timepoint
0.4138764	36hpa1	0	36hpa
0.17526197	36hpa1	1	36hpa
0.44135243	36hpa1	2	36hpa
0.6091777	36hpa1	3	36hpa
0.8215741	36hpa1	4	36hpa
0.55231446	36hpa1	5	36hpa
0.5637284	36hpa1	6	36hpa
0.3988948	36hpa1	7	36hpa
0.43835554	36hpa1	8	36hpa
0.66473114	36hpa1	9	36hpa
0.30616885	5dpa1	0	5dpa
0.41691893	5dpa1	1	5dpa
0.43695047	5dpa1	2	5dpa
0.31199032	5dpa1	3	5dpa
0.16793638	5dpa1	4	5dpa
0.8052782	5dpa1	5	5dpa
0.4276004	5dpa1	6	5dpa
1.017489	5dpa1	7	5dpa
0.30965263	5dpa1	8	5dpa
0.978938	5dpa1	9	5dpa
0.35869762	3dpa2	0	3dpa
0.53189313	3dpa2	1	3dpa
0.34783012	3dpa2	2	3dpa
0.60733116	3dpa2	3	3dpa
0.35325855	3dpa2	4	3dpa
0.52216053	3dpa2	5	3dpa
0.88737786	3dpa2	6	3dpa
0.68741167	3dpa2	7	3dpa
0.72562116	3dpa2	8	3dpa
0.77756816	3dpa2	9	3dpa
0.16040033	5dpa2	0	5dpa
0.5088323	5dpa2	1	5dpa
0.4403335	5dpa2	2	5dpa
0.33436647	5dpa2	3	5dpa
0.45521238	5dpa2	4	5dpa
0.43580273	5dpa2	5	5dpa
0.37071684	5dpa2	6	5dpa
0.66195804	5dpa2	7	5dpa
0.3779313	5dpa2	8	5dpa
0.7953297	5dpa2	9	5dpa
0.6169531	36hpa2	0	36hpa
0.4951669	36hpa2	1	36hpa
0.36022323	36hpa2	2	36hpa
0.50300074	36hpa2	3	36hpa
0.36629796	36hpa2	4	36hpa
0.28938115	36hpa2	5	36hpa
0.5104798	36hpa2	6	36hpa
0.19380778	36hpa2	7	36hpa
0.29010528	36hpa2	8	36hpa
0.1987348	36hpa2	9	36hpa
0.75080585	3dpa1	0	3dpa
0.27186397	3dpa1	1	3dpa
0.2729031	3dpa1	2	3dpa
0.3898611	3dpa1	3	3dpa
0.38575876	3dpa1	4	3dpa
0.27357757	3dpa1	5	3dpa
0.5066997	3dpa1	6	3dpa
0.7498083	3dpa1	7	3dpa
0.39490506	3dpa1	8	3dpa
0.81422913	3dpa1	9	3dpa
