spc_cluster	gene	exp	size
0	SMESG000071535.1	0.09440441	0.0846609290117805
1	SMESG000071535.1	0.24719906	0.16503783102143757
2	SMESG000071535.1	0.07294782	0.04965937612047329
3	SMESG000071535.1	0.15588933	0.0819121915820029
4	SMESG000071535.1	0.08648098	0.0939667458432304
5	SMESG000071535.1	0.04218469	0.04232856438085841
6	SMESG000071535.1	0.0762773	0.043343343343343346
7	SMESG000071535.1	0.13880622	0.10883864337101747
8	SMESG000071535.1	0.05128396	0.0413189077794951
9	SMESG000071535.1	0.1510051	0.12506698103097202
10	SMESG000071535.1	0.055882107	0.043525929174432626
11	SMESG000071535.1	0.117379054	0.10301356705486853
12	SMESG000071535.1	0.1655107	0.13093471810089022
13	SMESG000071535.1	0.09144461	0.06581632653061224
14	SMESG000071535.1	0.28383556	0.17594867594867594
15	SMESG000071535.1	0.3530811	0.23658738938053098
16	SMESG000071535.1	0.05476734	0.045454545454545456
17	SMESG000071535.1	0.3076925	0.13318352059925093
18	SMESG000071535.1	0.54288554	0.3166335726286849
19	SMESG000071535.1	0.12353475	0.11867856583685611
20	SMESG000071535.1	0.18539567	0.15314246993054378
21	SMESG000071535.1	0.039762277	0.03715170278637771
22	SMESG000071535.1	0.14985757	0.09818117605509448
23	SMESG000071535.1	0.10082553	0.09149217128843615
24	SMESG000071535.1	0.2764675	0.16220411331005044
25	SMESG000071535.1	0.19662465	0.18711850136813302
26	SMESG000071535.1	0.21970485	0.18711586615069428
27	SMESG000071535.1	0.23475683	0.1482686497792238
28	SMESG000071535.1	0.42242607	0.18595371109337588
29	SMESG000071535.1	0.16143228	0.12233375156838143
30	SMESG000071535.1	0.3934925	0.2253458277554663
31	SMESG000071535.1	1.5431767	0.6214057507987221
32	SMESG000071535.1	0.14286156	0.08387864366448543
33	SMESG000071535.1	0.20798182	0.13106796116504854
34	SMESG000071535.1	0.15344603	0.1751592356687898
35	SMESG000071535.1	0.08468941	0.08196721311475409
0	SMESG000007247.1	0.048085526	0.04455838369041079
1	SMESG000007247.1	0.18947431	0.13185687263556117
2	SMESG000007247.1	0.02680435	0.02052707063463607
3	SMESG000007247.1	0.054057516	0.02830188679245283
4	SMESG000007247.1	0.039037798	0.043705463182897863
5	SMESG000007247.1	0.018156108	0.019240256536753823
6	SMESG000007247.1	0.02576996	0.01701701701701702
7	SMESG000007247.1	0.061026536	0.05169578622816033
8	SMESG000007247.1	0.022564456	0.017619783616692426
9	SMESG000007247.1	0.055166453	0.0515486014360733
10	SMESG000007247.1	0.020693485	0.018747944304352594
11	SMESG000007247.1	0.050040584	0.043942850282146714
12	SMESG000007247.1	0.101600125	0.08679525222551929
13	SMESG000007247.1	0.030578107	0.02614795918367347
14	SMESG000007247.1	0.16612196	0.11029211029211029
15	SMESG000007247.1	0.24609067	0.16772676991150443
16	SMESG000007247.1	0.028730053	0.024551066217732884
17	SMESG000007247.1	0.17966914	0.08134831460674158
18	SMESG000007247.1	0.46551037	0.2801283030395601
19	SMESG000007247.1	0.18117127	0.1611085016439643
20	SMESG000007247.1	0.12068304	0.10926647467389462
21	SMESG000007247.1	0.015468439	0.015135878912968696
22	SMESG000007247.1	0.057354115	0.041850609217729116
23	SMESG000007247.1	0.05011705	0.046217694774570835
24	SMESG000007247.1	0.17296983	0.110011641443539
25	SMESG000007247.1	0.098832585	0.10966112397390024
26	SMESG000007247.1	0.16752005	0.13817436831322558
27	SMESG000007247.1	0.15918878	0.1022542412270509
28	SMESG000007247.1	0.26838022	0.11944666134610268
29	SMESG000007247.1	0.11341255	0.09629861982434128
30	SMESG000007247.1	0.3306845	0.18340026773761714
31	SMESG000007247.1	0.9630072	0.45260915867944623
32	SMESG000007247.1	0.06786743	0.04580606781677573
33	SMESG000007247.1	0.087825395	0.054785020804438284
34	SMESG000007247.1	0.15443891	0.11464968152866242
35	SMESG000007247.1	0.07280438	0.10382513661202186
0	SMESG000063380.1	0.017851528	0.01623634255020448
1	SMESG000063380.1	0.062876776	0.04295397225725094
2	SMESG000063380.1	0.006956848	0.006364288275367515
3	SMESG000063380.1	0.02915471	0.013515965166908563
4	SMESG000063380.1	0.016164234	0.015201900237529691
5	SMESG000063380.1	0.007913788	0.007992106561420818
6	SMESG000063380.1	0.014043247	0.007207207207207207
7	SMESG000063380.1	0.03161856	0.021479958890030834
8	SMESG000063380.1	0.009809886	0.0075218959299330245
9	SMESG000063380.1	0.026453905	0.022398456757046405
10	SMESG000063380.1	0.010601153	0.00942879070277382
11	SMESG000063380.1	0.018724412	0.015848241085364388
12	SMESG000063380.1	0.042758383	0.034866468842729974
13	SMESG000063380.1	0.014465771	0.009821428571428571
14	SMESG000063380.1	0.0923281	0.0576030576030576
15	SMESG000063380.1	0.14422552	0.09734513274336283
16	SMESG000063380.1	0.010448922	0.009259259259259259
17	SMESG000063380.1	0.10190943	0.044344569288389514
18	SMESG000063380.1	0.2664598	0.17229265312356803
19	SMESG000063380.1	0.014667154	0.014717394708000627
20	SMESG000063380.1	0.04348361	0.03794680670845333
21	SMESG000063380.1	0.0066981465	0.007567939456484348
22	SMESG000063380.1	0.024383878	0.01818823944905527
23	SMESG000063380.1	0.01896231	0.01622335408413507
24	SMESG000063380.1	0.09138839	0.057625145518044235
25	SMESG000063380.1	0.03737625	0.03704483266680699
26	SMESG000063380.1	0.10233903	0.08536307762349192
27	SMESG000063380.1	0.09347121	0.05949337671392052
28	SMESG000063380.1	0.12817828	0.06730513434424049
29	SMESG000063380.1	0.027934872	0.03230865746549561
30	SMESG000063380.1	0.16088094	0.10129406514948684
31	SMESG000063380.1	0.6470851	0.3876464323748669
32	SMESG000063380.1	0.03802951	0.021415823914336704
33	SMESG000063380.1	0.044151485	0.03398058252427184
34	SMESG000063380.1	0.08636192	0.06050955414012739
35	SMESG000063380.1	0.00521563	0.00546448087431694
0	SMESG000005380.1	0.0036221074	0.004089605078434963
1	SMESG000005380.1	0.009384129	0.006305170239596469
2	SMESG000005380.1	0.00331936	0.0029580494801003943
3	SMESG000005380.1	0.009014589	0.0052612481857764876
4	SMESG000005380.1	0.004371552	0.004845605700712589
5	SMESG000005380.1	0.0026570992	0.0027627035027133697
6	SMESG000005380.1	0.0048271525	0.002702702702702703
7	SMESG000005380.1	0.00862985	0.0073997944501541625
8	SMESG000005380.1	0.003123286	0.002575991756826378
9	SMESG000005380.1	0.007596353	0.0063230093237595115
10	SMESG000005380.1	0.004162231	0.0026312904286810656
11	SMESG000005380.1	0.0064536044	0.006603433785568495
12	SMESG000005380.1	0.0050467197	0.0056874381800197825
13	SMESG000005380.1	0.0045296936	0.004209183673469388
14	SMESG000005380.1	0.013430872	0.007917007917007918
15	SMESG000005380.1	0.022444244	0.016592920353982302
16	SMESG000005380.1	0.0041762814	0.003928170594837262
17	SMESG000005380.1	0.01550902	0.006741573033707865
18	SMESG000005380.1	0.04824814	0.03589430273407668
19	SMESG000005380.1	0.0016420495	0.0032879286049788633
20	SMESG000005380.1	0.007237972	0.007115026257834999
21	SMESG000005380.1	0.006821539	0.004815961472308222
22	SMESG000005380.1	0.0119593525	0.007946318205897933
23	SMESG000005380.1	0.007291557	0.005470665912092058
24	SMESG000005380.1	0.019585224	0.011059371362048894
25	SMESG000005380.1	0.004561305	0.006524942117448958
26	SMESG000005380.1	0.022157347	0.019804234008650126
27	SMESG000005380.1	0.016737057	0.011852196142226355
28	SMESG000005380.1	0.014310433	0.0074487895716946
29	SMESG000005380.1	0.0028532136	0.0037641154328732747
30	SMESG000005380.1	0.021770675	0.014725568942436412
31	SMESG000005380.1	0.08349318	0.07082002129925452
32	SMESG000005380.1	0.007709012	0.005353955978584176
33	SMESG000005380.1	0.011110393	0.0076282940360610264
34	SMESG000005380.1	0.0012994508	0.0031847133757961785
35	SMESG000005380.1	0.0	0.0
