Differential genes in Nb2 neoblasts		
Gene id	foldChange	State
SMED30029763	0.274776246	down
SMED30016163	0.709176263	down
SMED30013672	0.056158765	down
SMED30015694	0.179871345	down
SMED30025753	0.469307249	down
SMED30032663	0.551123191	down
SMED30017114	0.677762591	down
SMED30029843	0.084151971	down
SMED30028420	0.216614417	down
SMED30035360	0.760154602	down
SMED30016196	0.777422721	down
SMED30009415	0.256357695	down
SMED30030908	0.727874785	down
SMED30011775	0.149175812	down
SMED30032887	0.886196359	down
SMED30035816	0.798105014	down
SMED30033583	0.464531152	down
SMED30027845	0.547928614	down
SMED30020776	0.684321894	down
SMED30005190	0.735224763	down
SMED30028337	0.336556461	down
SMED30027701	0.434963039	down
SMED30009284	1.427433038	up
SMED30005554	0.552364185	down
SMED30035424	0.360116868	down
SMED30023413	0.802593429	down
SMED30026656	0.55378614	down
SMED30015808	0.40847833	down
SMED30016975	0.083526638	down
SMED30013392	0.551013276	down
SMED30014446	0.833357989	down
SMED30001039	0.815201226	down
SMED30023035	0.296212973	down
SMED30026696	0.828258465	down
SMED30036013	0.814849481	down
SMED30004937	1.253885835	up
SMED30007095	0.392168044	down
SMED30033336	0.853836919	down
SMED30011413	0.096507617	down
SMED30010523	0.325912308	down
SMED30021386	0.666926675	down
SMED30034967	0.419811639	down
SMED30002736	0.532394608	down
SMED30035852	1.243678769	up
SMED30003442	0.860013419	down
SMED30020317	0.577662537	down
SMED30012534	0.653218582	down
SMED30030766	0.679800799	down
SMED30024189	0.871227966	down
SMED30018630	0.684916312	down
SMED30013205	0.353091864	down
SMED30004214	0.752945335	down
SMED30001799	1.651147193	up
SMED30012075	0.716490755	down
SMED30020595	0.771563689	down
SMED30013371	0.874162656	down
SMED30005171	0.824298628	down
SMED30023159	0.680184431	down
SMED30003593	0.572606947	down
SMED30024600	0.609044711	down
SMED30013157	0.87188335	down
SMED30006990	0.231529231	down
SMED30019948	0.035507723	down
SMED30016880	0.624774002	down
SMED30015457	0.217708894	down
SMED30021790	0.577160841	down
SMED30021590	0.585805837	down
SMED30000800	0.68803498	down
SMED30032667	0.739825522	down
SMED30021910	0.388901554	down
SMED30017359	0.317639395	down
SMED30029911	0.669278831	down
SMED30032703	0.60100271	down
SMED30027482	0.550404589	down
SMED30021536	0.712485403	down
SMED30029202	0.320562996	down
SMED30012309	0.474810151	down
SMED30012483	0.50413821	down
SMED30024368	0.705097569	down
SMED30011818	0.66342238	down
SMED30031858	0.271894525	down
SMED30029899	0.880588696	down
SMED30004808	0.748228107	down
SMED30009514	0.435918542	down
SMED30006216	0.883116401	down
SMED30004117	0.64306202	down
SMED30019959	1.368736738	up
SMED30009142	0.577054746	down
SMED30023172	0.908981419	down
SMED30018088	0.341365373	down
SMED30013935	0.665992683	down
SMED30021513	0.914408357	down
SMED30028808	0.750942287	down
SMED30024115	0.904693854	down
SMED30029855	0.741227769	down
SMED30013233	0.780563307	down
SMED30023756	0.217436696	down
SMED30018797	0.476180909	down
SMED30009941	0.785548036	down
SMED30011609	1.187449449	up
SMED30026658	0.825672067	down
SMED30025067	0.745778163	down
SMED30015534	0.906990231	down
SMED30011300	0.639788732	down
SMED30018002	0.387739056	down
SMED30031869	0.468414351	down
SMED30019903	0.931587228	down
SMED30030431	0.7970641	down
SMED30013909	1.446504552	up
SMED30002369	0.929828227	down
SMED30008111	0.664969718	down
SMED30015902	0.125790716	down
SMED30006348	0.407705976	down
SMED30019038	0.238430584	down
SMED30012421	0.925279157	down
SMED30013216	0.393943749	down
SMED30013212	0.891178596	down
SMED30021776	0.235360662	down
SMED30025830	0.783442671	down
SMED30028106	0.198692153	down
SMED30025387	0.622254043	down
SMED30023331	0.301386974	down
SMED30014887	0.327911525	down
SMED30004820	0.656700343	down
SMED30022560	0.910116741	down
SMED30034254	0.832614736	down
SMED30009035	0.698102653	down
SMED30000378	0.776519633	down
SMED30013766	0.732733961	down
SMED30025757	0.697599022	down
SMED30023910	0.271200664	down
SMED30030240	0.760670826	down
SMED30001905	0.632382334	down
SMED30035063	0.505185368	down
SMED30020061	0.484574111	down
SMED30029555	0.862842644	down
SMED30030055	0.285499404	down
SMED30020634	0.230861359	down
SMED30034512	0.815569007	down
SMED30008295	0.691245577	down
SMED30029313	0.742687344	down
SMED30008987	0.951866079	down
SMED30028888	0.587478085	down
SMED30031420	0.666989394	down
SMED30033594	0.640537041	down
SMED30006391	0.924020231	down
SMED30008839	0.695771118	down
SMED30020749	0.845873121	down
SMED30014496	0.70369505	down
SMED30007143	0.665600638	down
SMED30015685	0.318538213	down
SMED30023057	0.838752927	down
SMED30014560	1.300426571	up
SMED30003176	1.114471459	up
SMED30015638	0.173855634	down
SMED30027929	0.825364654	down
SMED30035617	0.368732773	down
SMED30002942	0.458672433	down
SMED30034152	0.903800177	down
SMED30014140	0.484615007	down
SMED30030460	0.730747381	down
SMED30020821	0.268876943	down
SMED30003686	1.795970629	up
SMED30022891	0.562220137	down
SMED30006762	0.3359809	down
SMED30034623	1.256705208	up
SMED30013760	0.633876429	down
SMED30000134	0.970610046	down
SMED30008769	0.947592356	down
SMED30003071	0.789525086	down
SMED30007066	0.704438082	down
SMED30025561	0.656286202	down
SMED30017954	0.672192358	down
SMED30025308	0.742175687	down
SMED30020687	1.851960822	up
SMED30023389	0.871397576	down
SMED30024729	0.250979562	down
SMED30027407	0.848179107	down
SMED30033169	0.072251692	down
SMED30024739	0.772134425	down
SMED30014447	0.696013881	down
SMED30023782	0.733892718	down
SMED30027511	0.542419822	down
SMED30007369	0.743093705	down
SMED30011412	0.893331738	down
SMED30009283	0.948811569	down
SMED30005345	0.239133919	down
SMED30013015	0.210379927	down
SMED30003733	0.207613025	down
SMED30015584	0.259432241	down
SMED30031706	0.348922805	down
SMED30029507	0.933310157	down
SMED30029601	0.576024957	down
SMED30002455	0.965416509	down
SMED30010763	0.669088479	down
SMED30012468	0.569302339	down
SMED30011661	0.695422535	down
SMED30033346	0.737710891	down
SMED30010103	0.792851659	down
SMED30003997	0.771531887	down
SMED30001362	1.273457189	up
SMED30030404	0.76429825	down
SMED30012383	0.947574018	down
SMED30000240	0.908334623	down
SMED30005911	0.887857194	down
SMED30013833	0.615848435	down
SMED30034737	0.306289565	down
SMED30009030	0.700474031	down
SMED30022325	1.496447197	up
SMED30022559	0.5973751	down
SMED30012427	0.840283995	down
SMED30008801	0.675023474	down
SMED30008687	0.240838973	down
SMED30030605	0.651624803	down
SMED30011420	0.132461435	down
SMED30030227	0.645316482	down
SMED30002392	0.928049734	down
SMED30012869	0.854376258	down
SMED30030914	0.900096874	down
SMED30026369	0.763320933	down
SMED30011720	0.612980533	down
SMED30011041	0.805768869	down
SMED30012521	0.749110562	down
SMED30004537	0.753744346	down
SMED30031165	0.357645875	down
SMED30005551	0.779697146	down
SMED30025461	0.119642587	down
SMED30023296	0.571763917	down
SMED30001359	0.259924326	down
SMED30032778	1.102256211	up
SMED30002076	0.746945859	down
SMED30027307	0.275904129	down
SMED30003317	0.226203374	down
SMED30027976	0.092895033	down
SMED30032726	0.407156051	down
SMED30007361	0.51639788	down
SMED30024574	0.311585422	down
SMED30009090	0.175588414	down
SMED30001506	1.675528581	up
SMED30006109	0.492435883	down
SMED30002598	0.808140113	down
SMED30018755	0.788542645	down
SMED30001479	0.217825471	down
SMED30003215	0.17946388	down
SMED30009076	0.969377679	down
SMED30010890	1.486954307	up
SMED30001172	0.895547209	down
SMED30028145	0.735821579	down
SMED30019852	0.693272187	down
SMED30021509	0.717377469	down
SMED30022905	0.257014725	down
SMED30011277	0.409518178	down
SMED30031080	0.821931259	down
SMED30025657	0.671790559	down
SMED30004464	0.862079035	down
SMED30013699	0.922063341	down
SMED30029947	0.744903786	down
SMED30013735	1.020380347	down
SMED30013552	0.42567268	down
SMED30015300	0.28148055	down
SMED30016342	0.378295977	down
SMED30034422	0.122272094	down
SMED30013979	0.709556307	down
SMED30000291	0.53431432	down
SMED30016773	1.086928502	up
SMED30013018	0.962505576	down
SMED30027687	0.783867795	down
SMED30010421	0.325132614	down
SMED30023729	0.855706036	down
SMED30030818	0.824204486	down
SMED30022937	0.825284702	down
SMED30008579	0.792752712	down
SMED30023851	0.260470385	down
SMED30014750	0.802767721	down
SMED30032220	0.631807653	down
SMED30013337	0.717827316	down
SMED30032637	0.083035527	down
SMED30032110	0.671896409	down
SMED30003764	0.681230239	down
SMED30031764	0.943955181	down
SMED30031017	0.27669722	down
SMED30031454	0.712940364	down
SMED30010787	0.537922658	down
SMED30006655	0.914986875	down
SMED30028505	0.334350933	down
SMED30019803	0.959777786	down
SMED30023781	0.47472756	down
SMED30033779	0.18062923	down
SMED30021105	0.932872353	down
SMED30029898	0.776460298	down
SMED30008553	1.456888431	up
SMED30031929	0.848431341	down
SMED30011190	0.75670927	down
SMED30033919	0.69057901	down
SMED30005588	0.7146318	down
SMED30010458	0.484511346	down
SMED30008905	0.592608017	down
SMED30004593	0.604548889	down
SMED30022416	0.835373897	down
SMED30035671	0.858364977	down
SMED30020243	0.476861167	down
SMED30011934	0.318757465	down
SMED30021699	0.837471359	down
SMED30022935	0.896787677	down
SMED30035013	0.362266623	down
SMED30011715	0.726291756	down
SMED30012216	0.853470211	down
SMED30009316	0.307465229	down
SMED30008910	1.12293422	up
SMED30005157	0.18062923	down
SMED30016290	0.381628981	down
SMED30012954	0.527121598	down
SMED30001563	0.845670312	down
SMED30014980	0.717499441	down
SMED30010638	0.245895261	down
SMED30022353	0.820201207	down
SMED30010457	0.915020311	down
SMED30011574	0.7334078	down
SMED30011690	0.856203126	down
SMED30019021	1.473957112	up
SMED30020312	1.761703724	up
SMED30011003	0.968253636	down
SMED30024202	0.9402033	down
SMED30031133	0.754420264	down
SMED30007498	1.122163484	up
SMED30024887	0.874428599	down
SMED30005626	0.552959817	down
SMED30004297	0.845029043	down
SMED30025098	0.782360556	down
SMED30034781	0.85157758	down
SMED30002537	0.838168945	down
SMED30001026	0.785012574	down
SMED30014291	0.614075215	down
SMED30006347	0.900942928	down
SMED30012418	0.494201573	down
SMED30001446	0.744128488	down
SMED30025454	0.308910064	down
SMED30020811	0.433785922	down
SMED30025633	0.552696231	down
SMED30027697	0.58404708	down
SMED30003554	0.365936627	down
SMED30034299	0.797217822	down
SMED30030765	1.646425924	up
SMED30031699	0.350142815	down
SMED30009737	1.22027133	up
SMED30020124	0.790830214	down
SMED30006388	0.812856449	down
SMED30009907	0.827106615	down
SMED30020535	0.134960708	down
SMED30015645	0.446120117	down
SMED30022348	0.891144207	down
SMED30031644	0.902099513	down
SMED30030342	0.604946644	down
SMED30031407	1.258401946	up
SMED30019910	0.641542951	down
SMED30030518	0.759234993	down
SMED30019934	0.3464376	down
SMED30021702	0.348223361	down
SMED30019845	0.584913978	down
SMED30017670	0.766313116	down
SMED30031308	0.843615732	down
SMED30009845	0.796298484	down
SMED30014822	0.86814847	down
SMED30020565	0.810816824	down
SMED30031423	0.843570193	down
SMED30007406	0.938128522	down
SMED30005838	0.753328163	down
SMED30011418	0.241036382	down
SMED30000654	0.665274744	down
SMED30030133	0.686931418	down
SMED30026093	0.991842397	down
SMED30019263	0.857143903	down
SMED30018944	0.807885209	down
SMED30015687	0.665317664	down
SMED30018781	1.667075624	up
SMED30029702	0.833903368	down
SMED30034427	0.622069445	down
SMED30018186	1.003644113	down
SMED30023016	0.789055989	down
SMED30025790	0.084549852	down
SMED30024098	0.769843073	down
SMED30027770	0.782642454	down
SMED30035193	0.972873895	down
SMED30003592	0.743799755	down
SMED30000539	0.645113827	down
SMED30020057	0.855515257	down
SMED30024863	0.732895986	down
SMED30026078	0.378461244	down
SMED30004484	0.986477168	down
SMED30011945	0.732864524	down
SMED30006830	0.307410501	down
SMED30014869	0.45969195	down
SMED30013613	0.969460411	down
SMED30009524	0.187004379	down
SMED30027416	0.523462057	down
SMED30025726	0.307465229	down
SMED30000130	0.848974732	down
SMED30034464	0.529845741	down
SMED30027378	1.060920466	up
SMED30008508	0.692572846	down
SMED30012234	1.499998832	up
SMED30024888	0.81760679	down
SMED30031071	0.65925507	down
SMED30016661	0.363869967	down
SMED30031757	0.777926895	down
SMED30012225	0.689578648	down
SMED30016808	0.638591374	down
SMED30000771	0.468778774	down
SMED30021433	0.708784873	down
SMED30026367	0.946855619	down
SMED30030927	0.72954139	down
SMED30024586	0.328960518	down
SMED30034802	0.933464062	down
SMED30003467	0.353972575	down
SMED30018057	0.637600886	down
SMED30012378	1.619938208	up
SMED30003249	1.254557632	up
SMED30010509	0.118622181	down
SMED30023117	0.68828505	down
SMED30033565	0.829401654	down
SMED30008726	0.801488408	down
SMED30000559	0.356097625	down
SMED30002298	0.485279277	down
SMED30022209	0.782213025	down
SMED30024160	0.304842755	down
SMED30031380	0.891385719	down
SMED30021063	0.366313105	down
SMED30031646	1.009863362	down
SMED30022184	0.748542274	down
SMED30014556	0.6645272	down
SMED30000270	0.953509629	down
SMED30019477	0.648817781	down
SMED30035694	0.461825004	down
SMED30025220	1.263114401	up
SMED30025741	0.589347135	down
SMED30031106	0.820503976	down
SMED30006259	0.530834259	down
SMED30012289	0.777676814	down
SMED30008633	0.867844652	down
SMED30030917	0.777588463	down
SMED30027315	0.216755076	down
SMED30020054	0.92387942	down
SMED30015479	0.54740547	down
SMED30018440	0.824498111	down
SMED30027073	0.219607116	down
SMED30002262	1.189653645	up
SMED30023232	0.691103141	down
SMED30001256	0.203538303	down
SMED30001999	2.328204521	up
SMED30022090	0.863413444	down
SMED30015064	0.666580126	down
SMED30025117	0.556940126	down
SMED30025422	0.808026385	down
SMED30032274	0.693616243	down
SMED30023830	0.701094227	down
SMED30011577	0.677343339	down
SMED30009172	0.38059342	down
SMED30008498	0.704482897	down
SMED30021461	0.838775733	down
SMED30020216	0.829604249	down
SMED30002931	0.968097205	down
SMED30003605	0.681639386	down
SMED30000041	0.648854062	down
SMED30034823	0.679695936	down
SMED30007734	0.871426443	down
SMED30034101	0.501461148	down
SMED30014141	0.863192399	down
SMED30028966	0.811412981	down
SMED30035627	0.484123012	down
SMED30029973	1.264347933	up
SMED30032076	0.261569416	down
SMED30007413	0.925987444	down
SMED30020402	0.240838973	down
SMED30027683	0.837156271	down
SMED30033864	2.395344288	up
SMED30022627	0.562843252	down
SMED30020070	0.912981513	down
SMED30035831	1.304034354	up
SMED30002574	0.803923015	down
SMED30013692	1.335006526	up
SMED30034697	1.08959076	up
SMED30032672	0.582425853	down
SMED30024997	0.459719099	down
SMED30000830	0.310682275	down
SMED30027979	0.999708495	down
SMED30010969	0.84541088	down
SMED30013334	0.847898748	down
SMED30032516	0.8166072	down
SMED30004721	0.806310894	down
SMED30015482	0.815096852	down
SMED30014493	0.988194538	down
SMED30009134	0.802837329	down
SMED30016121	0.657184358	down
SMED30033646	0.54188769	down
SMED30026756	0.563620768	down
SMED30033139	0.835445745	down
SMED30017018	1.036201622	down
SMED30030198	0.852102666	down
SMED30025805	0.330497839	down
SMED30009204	0.439564763	down
SMED30025332	1.161077646	up
SMED30004791	0.745095573	down
SMED30013475	0.822394259	down
SMED30019190	0.910270031	down
SMED30005997	0.938188395	down
SMED30021364	0.221492892	down
SMED30026445	1.369895287	up
SMED30007747	0.743133963	down
SMED30005428	0.889324416	down
SMED30023874	0.471437549	down
SMED30027441	0.913138405	down
SMED30016995	0.92048499	down
SMED30017430	1.297753816	up
SMED30034953	0.787276684	down
SMED30028914	0.785962311	down
SMED30005805	0.161647853	down
SMED30023538	0.820481714	down
SMED30022078	0.944065805	down
SMED30004367	0.938416809	down
SMED30030773	0.834016444	down
SMED30010888	0.767055634	down
SMED30019273	1.120890592	up
SMED30005221	0.702868173	down
SMED30022643	0.778316395	down
SMED30001995	0.586041502	down
SMED30019011	0.745685515	down
SMED30026188	0.589867329	down
SMED30005932	1.355752675	up
SMED30026290	1.571731817	up
SMED30023621	0.304969351	down
SMED30025809	0.797102734	down
SMED30033472	0.786575121	down
SMED30029302	1.057984805	up
SMED30020799	0.840731134	down
SMED30002665	0.231807512	down
SMED30024309	1.222326272	up
SMED30000712	1.731115438	up
SMED30032354	0.393987859	down
SMED30023243	1.455520745	up
SMED30003939	1.423190305	up
SMED30032563	1.386756755	up
SMED30005206	0.937140719	down
SMED30008246	0.745447864	down
SMED30020396	0.425270924	down
SMED30025880	0.209938879	down
SMED30020763	0.66547611	down
SMED30005887	0.697228828	down
SMED30024153	0.34910397	down
SMED30014194	0.115903756	down
SMED30002662	0.849710002	down
SMED30004081	0.277244865	down
SMED30025141	0.879490139	down
SMED30023430	0.965578823	down
SMED30007445	0.845090123	down
SMED30024556	0.099346076	down
SMED30029457	0.779018624	down
SMED30028280	0.652117835	down
SMED30018710	0.595453599	down
SMED30002634	0.377931927	down
SMED30013303	0.969025057	down
SMED30030213	0.786537406	down
SMED30013430	0.202304738	down
SMED30017077	0.847521812	down
SMED30008911	1.547360448	up
SMED30005019	0.919550138	down
SMED30015356	0.335721224	down
SMED30027335	0.833298269	down
SMED30030542	0.933553867	down
SMED30008468	1.585170363	up
SMED30021711	0.930817843	down
SMED30012104	0.675281759	down
SMED30028670	0.913189738	down
SMED30008752	0.475133409	down
SMED30035594	1.611212731	up
SMED30012660	0.791672111	down
SMED30029180	0.833953345	down
SMED30002592	1.006371756	down
SMED30025597	0.513367285	down
SMED30015987	0.687815991	down
SMED30008609	0.110897946	down
SMED30031235	0.839738459	down
SMED30004679	0.750145791	down
SMED30029361	0.636625878	down
SMED30004045	0.640053655	down
SMED30010101	1.539864185	up
SMED30035474	0.552461108	down
SMED30017525	0.237036253	down
SMED30013591	0.561442047	down
SMED30002703	0.979100814	down
SMED30010510	0.849539183	down
SMED30010375	1.32570393	up
SMED30018243	1.715027004	up
SMED30014999	0.404235759	down
SMED30014413	0.911540797	down
SMED30007674	0.827859349	down
SMED30016897	0.54188769	down
SMED30025522	1.054742247	up
SMED30022144	0.260579873	down
SMED30021657	0.85980696	down
SMED30012836	0.351371386	down
SMED30009113	0.362829149	down
SMED30009163	0.870707927	down
SMED30028104	0.119215292	down
SMED30011811	0.296713615	down
SMED30003262	0.362829149	down
SMED30022101	0.567388287	down
SMED30004754	0.948471865	down
SMED30020652	0.24247178	down
SMED30012294	1.614688129	up
SMED30022444	0.803885391	down
SMED30000761	0.644339221	down
SMED30008267	0.256376972	down
SMED30002969	0.284073921	down
SMED30033663	0.673047293	down
SMED30029501	0.948541571	down
SMED30007147	0.776068174	down
SMED30027904	0.894954232	down
SMED30019938	0.333290063	down
SMED30031723	0.440578252	down
SMED30015071	0.229737802	down
SMED30032697	0.182134474	down
SMED30009769	0.484169384	down
SMED30018045	0.403375024	down
SMED30021939	0.720571183	down
SMED30018184	0.508282252	down
SMED30017896	0.826880475	down
SMED30011381	0.555076491	down
SMED30024872	0.838816029	down
SMED30014627	0.824268757	down
SMED30011873	0.602384146	down
SMED30008255	0.847114225	down
SMED30033211	0.802471215	down
SMED30005579	0.238430584	down
SMED30013608	0.764817708	down
SMED30020096	0.158953722	down
SMED30032809	0.113538373	down
SMED30015291	0.917923827	down
SMED30005183	0.647023165	down
SMED30008411	0.657673423	down
SMED30007302	0.336912781	down
SMED30008086	0.690283945	down
SMED30015532	0.142650776	down
SMED30032754	0.268818795	down
SMED30030151	0.952959966	down
SMED30011524	1.461118597	up
SMED30030310	0.662138436	down
SMED30006209	0.840444969	down
SMED30033929	1.422407364	up
SMED30032283	0.72712873	down
SMED30007465	0.854962897	down
SMED30022535	0.936598403	down
SMED30011920	0.363564365	down
SMED30004118	1.159683044	up
SMED30015572	0.781315497	down
SMED30033649	0.681597677	down
SMED30001875	0.814174726	down
SMED30019886	0.346922807	down
SMED30020237	0.843455904	down
SMED30017381	0.827398408	down
SMED30011012	1.657177105	up
SMED30007622	0.701266422	down
SMED30028613	0.800670359	down
SMED30013497	0.813340964	down
SMED30014012	0.763396166	down
SMED30034728	0.856929285	down
SMED30005965	0.515419248	down
SMED30017298	0.140253284	down
SMED30025175	0.554489729	down
SMED30010124	0.924149548	down
SMED30019864	0.529845741	down
SMED30023567	0.884450673	down
SMED30026135	0.856033774	down
SMED30001663	0.681727124	down
SMED30015564	0.218171776	down
SMED30014799	0.239519308	down
SMED30002155	0.53839164	down
SMED30007788	0.90572906	down
SMED30019097	0.748535535	down
SMED30028253	0.794768612	down
