pathway_name	ligand	receptor	lr	old_tx_id.ligand	gene_id.ligand	old_tx_id.receptor	gene_id.receptor
BMP	BMP4	ACVR2A	BMP4:BMPR1A_ACVR2A	SMED30003409	SMESG000059596.1	SMED30012283	SMESG000070956.1
BMP	BMP4	ACVR2A	BMP4:BMPR1A_ACVR2A	SMED30003409	SMESG000059596.1	SMED30025538	SMESG000060769.1
BMP	BMP4	ACVR2A	BMP4:BMPR1A_ACVR2A	SMED30003409	SMESG000059596.1	SMED30035582	SMESG000025506.1
BMP	BMP4	ACVR2A	BMP4:BMPR1A_ACVR2A	SMED30003409	SMESG000059598.1	SMED30012283	SMESG000070956.1
BMP	BMP4	ACVR2A	BMP4:BMPR1A_ACVR2A	SMED30003409	SMESG000059598.1	SMED30025538	SMESG000060769.1
BMP	BMP4	ACVR2A	BMP4:BMPR1A_ACVR2A	SMED30003409	SMESG000059598.1	SMED30035582	SMESG000025506.1
BMP	BMP4	ACVR2A	BMP4:BMPR1A_ACVR2A	SMED30035462	SMESG000059595.1	SMED30012283	SMESG000070956.1
BMP	BMP4	ACVR2A	BMP4:BMPR1A_ACVR2A	SMED30035462	SMESG000059595.1	SMED30025538	SMESG000060769.1
BMP	BMP4	ACVR2A	BMP4:BMPR1A_ACVR2A	SMED30035462	SMESG000059595.1	SMED30035582	SMESG000025506.1
BMP	BMP4	ACVR2A	BMP4:BMPR1A_ACVR2A	SMED30035462	SMESG000059596.1	SMED30012283	SMESG000070956.1
BMP	BMP4	ACVR2A	BMP4:BMPR1A_ACVR2A	SMED30035462	SMESG000059596.1	SMED30025538	SMESG000060769.1
BMP	BMP4	ACVR2A	BMP4:BMPR1A_ACVR2A	SMED30035462	SMESG000059596.1	SMED30035582	SMESG000025506.1
BMP	BMP4	ACVR2A	BMP4:BMPR1A_ACVR2A	SMED30035462	SMESG000059598.1	SMED30012283	SMESG000070956.1
BMP	BMP4	ACVR2A	BMP4:BMPR1A_ACVR2A	SMED30035462	SMESG000059598.1	SMED30025538	SMESG000060769.1
BMP	BMP4	ACVR2A	BMP4:BMPR1A_ACVR2A	SMED30035462	SMESG000059598.1	SMED30035582	SMESG000025506.1
BMP	BMP4	BMPR1B	BMP4:BMPR1B_ACVR2A	SMED30003409	SMESG000059596.1	SMED30008013	SMESG000074605.1
BMP	BMP4	BMPR1B	BMP4:BMPR1B_ACVR2A	SMED30003409	SMESG000059598.1	SMED30008013	SMESG000074605.1
BMP	BMP4	BMPR1B	BMP4:BMPR1B_ACVR2A	SMED30035462	SMESG000059595.1	SMED30008013	SMESG000074605.1
BMP	BMP4	BMPR1B	BMP4:BMPR1B_ACVR2A	SMED30035462	SMESG000059596.1	SMED30008013	SMESG000074605.1
BMP	BMP4	BMPR1B	BMP4:BMPR1B_ACVR2A	SMED30035462	SMESG000059598.1	SMED30008013	SMESG000074605.1
BMP	BMP4	ACVR2A	BMP4:BMPR1B_ACVR2A	SMED30003409	SMESG000059596.1	SMED30012283	SMESG000070956.1
BMP	BMP4	ACVR2A	BMP4:BMPR1B_ACVR2A	SMED30003409	SMESG000059596.1	SMED30025538	SMESG000060769.1
BMP	BMP4	ACVR2A	BMP4:BMPR1B_ACVR2A	SMED30003409	SMESG000059596.1	SMED30035582	SMESG000025506.1
BMP	BMP4	ACVR2A	BMP4:BMPR1B_ACVR2A	SMED30003409	SMESG000059598.1	SMED30012283	SMESG000070956.1
BMP	BMP4	ACVR2A	BMP4:BMPR1B_ACVR2A	SMED30003409	SMESG000059598.1	SMED30025538	SMESG000060769.1
BMP	BMP4	ACVR2A	BMP4:BMPR1B_ACVR2A	SMED30003409	SMESG000059598.1	SMED30035582	SMESG000025506.1
BMP	BMP4	ACVR2A	BMP4:BMPR1B_ACVR2A	SMED30035462	SMESG000059595.1	SMED30012283	SMESG000070956.1
BMP	BMP4	ACVR2A	BMP4:BMPR1B_ACVR2A	SMED30035462	SMESG000059595.1	SMED30025538	SMESG000060769.1
BMP	BMP4	ACVR2A	BMP4:BMPR1B_ACVR2A	SMED30035462	SMESG000059595.1	SMED30035582	SMESG000025506.1
BMP	BMP4	ACVR2A	BMP4:BMPR1B_ACVR2A	SMED30035462	SMESG000059596.1	SMED30012283	SMESG000070956.1
BMP	BMP4	ACVR2A	BMP4:BMPR1B_ACVR2A	SMED30035462	SMESG000059596.1	SMED30025538	SMESG000060769.1
BMP	BMP4	ACVR2A	BMP4:BMPR1B_ACVR2A	SMED30035462	SMESG000059596.1	SMED30035582	SMESG000025506.1
BMP	BMP4	ACVR2A	BMP4:BMPR1B_ACVR2A	SMED30035462	SMESG000059598.1	SMED30012283	SMESG000070956.1
BMP	BMP4	ACVR2A	BMP4:BMPR1B_ACVR2A	SMED30035462	SMESG000059598.1	SMED30025538	SMESG000060769.1
BMP	BMP4	ACVR2A	BMP4:BMPR1B_ACVR2A	SMED30035462	SMESG000059598.1	SMED30035582	SMESG000025506.1
BMP	BMP4	BMPR1B	BMP4:BMPR1B_ACVR2B	SMED30003409	SMESG000059596.1	SMED30008013	SMESG000074605.1
BMP	BMP4	BMPR1B	BMP4:BMPR1B_ACVR2B	SMED30003409	SMESG000059598.1	SMED30008013	SMESG000074605.1
